/home/seth/dev/cytools_project/venv/lib/python3.13/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  B-01: SCAN χ=-6 POLYTOPES FOR h⁰ ≥ 3 LINE BUNDLES
  Method: Verified Koszul + lattice-point counting
========================================================================


────────────────────────────────────────────────────────────
  h11=13, h21=16  —  3 polytopes
  poly  26: n_toric=20, h11_eff=14, 1668 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  27: n_toric=18, h11_eff=13, 1944 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  28: n_toric=20, h11_eff=15, 2086 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  29: n_toric=18, h11_eff=13, 1308 χ=3 bundles, max h⁰=1 [NF]
  poly  30: n_toric=20, h11_eff=14, 1718 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  31: n_toric=20, h11_eff=15, 2770 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  32: n_toric=20, h11_eff=15, 2080 χ=3 bundles, max h⁰=1
  poly  33: n_toric=20, h11_eff=15, 2036 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  34: n_toric=21, h11_eff=15, 2656 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  35: n_toric=21, h11_eff=15, 2672 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  36: n_toric=18, h11_eff=13, 1752 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  37: n_toric=18, h11_eff=13, 1698 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  38: n_toric=18, h11_eff=13, 1620 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  39: n_toric=22, h11_eff=15, 2120 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  40: n_toric=20, h11_eff=15, 2232 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  41: n_toric=22, h11_eff=15, 2296 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  42: n_toric=19, h11_eff=14, 2174 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  43: n_toric=20, h11_eff=15, 2534 χ=3 bundles, max h⁰=1
  poly  44: n_toric=20, h11_eff=15, 2622 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  45: n_toric=20, h11_eff=15, 2800 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  46: n_toric=19, h11_eff=14, 2078 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  47: n_toric=20, h11_eff=15, 1842 χ=3 bundles, max h⁰=1
  poly  48: n_toric=19, h11_eff=14, 2358 χ=3 bundles, max h⁰=8 ★★★ HIT ★★★ [NF]
