/usr/local/lib/python3.12/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  TIER 0.25 FAST PRE-FILTER (early termination + min_h0 bound)
  h¹¹ = [18], limit=all, workers=14
========================================================================

────────────────────────────────────────────────────────────
  h11=18, h21=21  —  100000 polytopes (fetched in 185.9s)
────────────────────────────────────────────────────────────
  [6900/100000] 659s, 10.5 poly/s, ETA 8891s, 3848 pass / 3052 skip
  [7000/100000] 668s, 10.5 poly/s, ETA 8876s, 3904 pass / 3096 skip
  [7100/100000] 680s, 10.4 poly/s, ETA 8894s, 3957 pass / 3143 skip
  [7200/100000] 691s, 10.4 poly/s, ETA 8909s, 3996 pass / 3204 skip
  [7300/100000] 702s, 10.4 poly/s, ETA 8909s, 4042 pass / 3258 skip
  [7400/100000] 715s, 10.3 poly/s, ETA 8951s, 4078 pass / 3322 skip
  [7500/100000] 727s, 10.3 poly/s, ETA 8968s, 4117 pass / 3383 skip
  [7600/100000] 738s, 10.3 poly/s, ETA 8971s, 4161 pass / 3439 skip
  [7700/100000] 749s, 10.3 poly/s, ETA 8978s, 4212 pass / 3488 skip
  [7800/100000] 761s, 10.3 poly/s, ETA 8995s, 4265 pass / 3535 skip
  [7900/100000] 772s, 10.2 poly/s, ETA 9001s, 4315 pass / 3585 skip
  [8000/100000] 784s, 10.2 poly/s, ETA 9016s, 4366 pass / 3634 skip
  [8100/100000] 795s, 10.2 poly/s, ETA 9021s, 4407 pass / 3693 skip
  [8200/100000] 806s, 10.2 poly/s, ETA 9024s, 4453 pass / 3747 skip
  [8300/100000] 820s, 10.1 poly/s, ETA 9062s, 4488 pass / 3812 skip
  [8400/100000] 834s, 10.1 poly/s, ETA 9090s, 4510 pass / 3890 skip
  [8500/100000] 846s, 10.0 poly/s, ETA 9106s, 4541 pass / 3959 skip
  [8600/100000] 857s, 10.0 poly/s, ETA 9109s, 4585 pass / 4015 skip
  [8700/100000] 869s, 10.0 poly/s, ETA 9120s, 4631 pass / 4069 skip
  [8800/100000] 881s, 10.0 poly/s, ETA 9134s, 4684 pass / 4116 skip
  [8900/100000] 894s, 10.0 poly/s, ETA 9150s, 4714 pass / 4186 skip
  [9000/100000] 906s, 9.9 poly/s, ETA 9164s, 4765 pass / 4235 skip
  [9100/100000] 917s, 9.9 poly/s, ETA 9155s, 4806 pass / 4294 skip
  [9200/100000] 931s, 9.9 poly/s, ETA 9185s, 4843 pass / 4357 skip
  [9300/100000] 940s, 9.9 poly/s, ETA 9168s, 4890 pass / 4410 skip
  [9400/100000] 954s, 9.9 poly/s, ETA 9195s, 4938 pass / 4462 skip
  [9500/100000] 964s, 9.9 poly/s, ETA 9183s, 4989 pass / 4511 skip
  [9600/100000] 977s, 9.8 poly/s, ETA 9199s, 5028 pass / 4572 skip
  [9700/100000] 988s, 9.8 poly/s, ETA 9197s, 5067 pass / 4633 skip
  [9800/100000] 1001s, 9.8 poly/s, ETA 9211s, 5114 pass / 4686 skip
  [9900/100000] 1015s, 9.8 poly/s, ETA 9240s, 5148 pass / 4752 skip
  [10000/100000] 1026s, 9.7 poly/s, ETA 9235s, 5182 pass / 4818 skip
  [10100/100000] 1039s, 9.7 poly/s, ETA 9246s, 5222 pass / 4878 skip
  [10200/100000] 1052s, 9.7 poly/s, ETA 9266s, 5248 pass / 4952 skip
  [10300/100000] 1064s, 9.7 poly/s, ETA 9262s, 5289 pass / 5011 skip
  [10400/100000] 1076s, 9.7 poly/s, ETA 9273s, 5322 pass / 5078 skip
  [10500/100000] 1089s, 9.6 poly/s, ETA 9284s, 5356 pass / 5144 skip
  [10600/100000] 1103s, 9.6 poly/s, ETA 9303s, 5390 pass / 5210 skip
  [10700/100000] 1114s, 9.6 poly/s, ETA 9295s, 5430 pass / 5270 skip
  [10800/100000] 1127s, 9.6 poly/s, ETA 9305s, 5464 pass / 5336 skip
  [10900/100000] 1139s, 9.6 poly/s, ETA 9309s, 5493 pass / 5407 skip
  [11000/100000] 1151s, 9.6 poly/s, ETA 9312s, 5531 pass / 5469 skip
  [11100/100000] 1161s, 9.6 poly/s, ETA 9302s, 5586 pass / 5514 skip
  [11200/100000] 1171s, 9.6 poly/s, ETA 9287s, 5634 pass / 5566 skip
  [11300/100000] 1184s, 9.5 poly/s, ETA 9296s, 5674 pass / 5626 skip
  [11400/100000] 1193s, 9.6 poly/s, ETA 9269s, 5717 pass / 5683 skip
  [11500/100000] 1202s, 9.6 poly/s, ETA 9252s, 5784 pass / 5716 skip
  [11600/100000] 1211s, 9.6 poly/s, ETA 9230s, 5836 pass / 5764 skip
  [11700/100000] 1221s, 9.6 poly/s, ETA 9217s, 5886 pass / 5814 skip
  [11800/100000] 1231s, 9.6 poly/s, ETA 9199s, 5931 pass / 5869 skip
  [11900/100000] 1243s, 9.6 poly/s, ETA 9199s, 5973 pass / 5927 skip
  [12000/100000] 1254s, 9.6 poly/s, ETA 9192s, 6010 pass / 5990 skip
  [12100/100000] 1264s, 9.6 poly/s, ETA 9183s, 6056 pass / 6044 skip
  [12200/100000] 1274s, 9.6 poly/s, ETA 9172s, 6108 pass / 6092 skip
  [12300/100000] 1286s, 9.6 poly/s, ETA 9170s, 6158 pass / 6142 skip
  [12400/100000] 1298s, 9.6 poly/s, ETA 9167s, 6204 pass / 6196 skip
  [12500/100000] 1308s, 9.6 poly/s, ETA 9155s, 6256 pass / 6244 skip
  [12600/100000] 1320s, 9.5 poly/s, ETA 9159s, 6307 pass / 6293 skip
  [12700/100000] 1329s, 9.6 poly/s, ETA 9138s, 6365 pass / 6335 skip
