
────────────────────────────────────────────────────────────
  h11=15, h21=18  —  553 polytopes (fetched in 1.8s)
────────────────────────────────────────────────────────────
  poly   57: n_toric=20, h11_eff=15,  3074 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   58: n_toric=19, h11_eff=14,  1976 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   59: n_toric=20, h11_eff=15,  2974 χ=3 bundles, max h⁰=1
  poly   60: n_toric=21, h11_eff=15,  2204 χ=3 bundles, max h⁰=1
  poly   61: n_toric=18, h11_eff=13,  1576 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   62: n_toric=19, h11_eff=14,  2272 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly   63: n_toric=20, h11_eff=15,  2434 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   64: n_toric=21, h11_eff=15,  2634 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   65: n_toric=21, h11_eff=15,  2432 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   66: n_toric=20, h11_eff=15,  2244 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   67: n_toric=19, h11_eff=14,  1428 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly   68: n_toric=20, h11_eff=15,  2418 χ=3 bundles, max h⁰=1
  poly   69: n_toric=21, h11_eff=15,  2604 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   70: n_toric=20, h11_eff=15,  2270 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   71: n_toric=19, h11_eff=14,  1724 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   72: n_toric=20, h11_eff=15,  2468 χ=3 bundles, max h⁰=1
  poly   73: n_toric=20, h11_eff=15,  2130 χ=3 bundles, max h⁰=1
  poly   74: n_toric=21, h11_eff=15,  2162 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   75: n_toric=20, h11_eff=15,  2140 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   76: n_toric=18, h11_eff=13,  1266 χ=3 bundles, max h⁰=1 [NF]
  poly   77: n_toric=19, h11_eff=14,  1682 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   78: n_toric=19, h11_eff=14,  1786 χ=3 bundles, max h⁰=1 [NF]
  poly   79: n_toric=20, h11_eff=15,  2392 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   80: n_toric=20, h11_eff=15,  3040 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   81: n_toric=20, h11_eff=15,  2728 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   82: n_toric=21, h11_eff=15,  2798 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   83: n_toric=21, h11_eff=15,  2814 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   84: n_toric=20, h11_eff=15,  2534 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   85: n_toric=20, h11_eff=15,  2242 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   86: n_toric=18, h11_eff=13,  1684 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★ [NF]
  poly   87: n_toric=20, h11_eff=15,  2274 χ=3 bundles, max h⁰=1
  poly   88: n_toric=20, h11_eff=15,  2634 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   89: n_toric=20, h11_eff=15,  1858 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   90: n_toric=21, h11_eff=15,  2146 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   91: n_toric=19, h11_eff=14,  2292 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★ [NF]
  poly   92: n_toric=21, h11_eff=15,  2660 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   93: n_toric=20, h11_eff=15,  2280 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   94: n_toric=19, h11_eff=14,  1968 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly   95: n_toric=20, h11_eff=15,  2238 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   96: n_toric=20, h11_eff=15,  2570 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   97: n_toric=21, h11_eff=15,  1844 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   98: n_toric=20, h11_eff=15,  2452 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   99: n_toric=19, h11_eff=14,  1680 χ=3 bundles, max h⁰=1 [NF]
  poly  100: n_toric=20, h11_eff=15,  2856 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  101: n_toric=21, h11_eff=15,  1872 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  102: n_toric=21, h11_eff=15,  2456 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  103: n_toric=21, h11_eff=15,  2428 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  104: n_toric=18, h11_eff=13,  1646 χ=3 bundles, max h⁰=1 [NF]
  poly  105: n_toric=20, h11_eff=15,  2862 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  106: n_toric=20, h11_eff=15,  2408 χ=3 bundles, max h⁰=1
  poly  107: n_toric=22, h11_eff=15,  2302 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  108: n_toric=20, h11_eff=15,  3184 χ=3 bundles, max h⁰=1
  poly  109: n_toric=22, h11_eff=15,  2124 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  110: n_toric=20, h11_eff=15,  2404 χ=3 bundles, max h⁰=1
  poly  111: n_toric=20, h11_eff=15,  2286 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  112: n_toric=20, h11_eff=15,  2492 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  113: n_toric=17, h11_eff=12,  1608 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
