
────────────────────────────────────────────────────────────
  h11=16, h21=19  —  5180 polytopes (fetched in 13.3s)
────────────────────────────────────────────────────────────
  poly   57: n_toric=21, h11_eff=16,  1430 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly   58: n_toric=21, h11_eff=16,  1110 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   59: n_toric=17, h11_eff=12,   812 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly   60: n_toric=21, h11_eff=16,  1544 χ=3 bundles, max h⁰=1
  poly   61: n_toric=19, h11_eff=14,  2008 χ=3 bundles, max h⁰=1 [NF]
  poly   62: n_toric=19, h11_eff=14,  2106 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   63: n_toric=18, h11_eff=13,  1406 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★ [NF]
  poly   64: n_toric=21, h11_eff=16,  1240 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   65: n_toric=21, h11_eff=16,  1048 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   66: n_toric=21, h11_eff=16,  1422 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   67: n_toric=23, h11_eff=16,   872 χ=3 bundles, max h⁰=1
  poly   68: n_toric=21, h11_eff=16,  1078 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   69: n_toric=20, h11_eff=15,  2178 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   70: n_toric=21, h11_eff=16,  1114 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   71: n_toric=21, h11_eff=16,  1120 χ=3 bundles, max h⁰=1
  poly   72: n_toric=22, h11_eff=16,  1072 χ=3 bundles, max h⁰=1
  poly   73: n_toric=17, h11_eff=12,  1584 χ=3 bundles, max h⁰=12 ★★★ HIT ★★★ [NF]
  poly   74: n_toric=19, h11_eff=14,  1940 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   75: n_toric=22, h11_eff=16,  1702 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   76: n_toric=19, h11_eff=14,  1956 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★ [NF]
  poly   77: n_toric=21, h11_eff=16,  1300 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly   78: n_toric=19, h11_eff=14,  1934 χ=3 bundles, max h⁰=1 [NF]
  poly   79: n_toric=19, h11_eff=14,  1864 χ=3 bundles, max h⁰=1 [NF]
  poly   80: n_toric=21, h11_eff=16,  1174 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   81: n_toric=23, h11_eff=16,  1402 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   82: n_toric=18, h11_eff=13,  1362 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly   83: n_toric=21, h11_eff=16,  1362 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly   84: n_toric=18, h11_eff=13,  1636 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   85: n_toric=23, h11_eff=16,  1150 χ=3 bundles, max h⁰=1
  poly   86: n_toric=19, h11_eff=14,  1880 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly   87: n_toric=21, h11_eff=16,  1164 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   88: n_toric=20, h11_eff=14,  1500 χ=3 bundles, max h⁰=18 ★★★ HIT ★★★ [NF]
  poly   89: n_toric=23, h11_eff=16,  1194 χ=3 bundles, max h⁰=1
  poly   90: n_toric=21, h11_eff=16,  1326 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   91: n_toric=20, h11_eff=14,  1834 χ=3 bundles, max h⁰=11 ★★★ HIT ★★★ [NF]
