poly_id,h11,h21,chi,n_vertices,n_points,is_favorable,tier1_score,tier1_max,n_rigid_dP,n_K3,n_intnums,n_kahler_walls,n_mori_generators,vol_tip,k_ratio,h11_quotient,gl_order,error
poly_172,15,18,-6,13,20,True,7,7,14,0,259,88,337,61760.025083737084,48.5,8,1,
poly_173,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_174,15,18,-6,13,20,True,7,7,14,0,272,89,2168,2897.122731800805,21.25,9,1,
poly_175,15,18,-6,13,20,True,7,7,15,0,258,93,1198,4297.166666666668,43.0,7,1,
poly_176,15,18,-6,13,20,True,7,7,15,0,263,89,419,34649.33333246687,89.0,9,1,
poly_177,15,18,-6,13,20,True,7,7,16,0,278,86,366,5373.632221711644,22.0,10,1,
poly_178,15,18,-6,13,21,True,7,7,15,0,261,86,2365,7385.353395061665,30.666666666666668,8,1,
poly_179,15,18,-6,13,20,True,7,7,14,0,279,82,2318,5031.09544332835,21.25,10,1,
poly_180,15,18,-6,13,20,True,7,7,15,0,273,77,236,4167.388173157713,82.0,10,1,
poly_181,15,18,-6,13,20,True,7,7,15,0,263,93,318,9791.206282805444,42.0,9,1,
poly_182,15,18,-6,13,20,True,6,6,16,0,269,84,582,4381.666666666504,,9,1,
poly_183,15,18,-6,13,20,True,7,7,15,0,271,88,1721,3281.117648260318,21.0,8,1,
poly_184,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_185,15,18,-6,13,20,True,7,7,16,0,279,85,1026,16801.092592585825,16.8,7,1,
poly_186,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_187,15,18,-6,13,20,True,7,7,14,0,271,81,496,22224.166666519894,22.0,11,1,
poly_188,15,18,-6,13,20,True,7,7,14,1,271,83,608,2693.7434222807865,91.0,8,1,
poly_189,15,18,-6,13,20,True,7,7,15,0,274,78,825,2176.5970351159267,91.0,6,2,
poly_190,15,18,-6,13,20,True,7,7,17,0,271,92,302,5888.994056940563,17.4,9,1,
poly_191,15,18,-6,13,20,True,7,7,16,0,287,73,179,8657.01437152055,17.0,7,2,
poly_192,15,18,-6,13,20,True,7,7,16,0,272,83,249,3394.1666666666347,17.0,8,2,
poly_193,15,18,-6,13,20,True,7,7,14,0,274,78,309,5197.666666666579,28.333333333333332,7,1,
poly_194,15,18,-6,13,20,True,7,7,15,0,282,82,129,4961.666666666106,43.0,10,1,
poly_195,15,18,-6,13,20,True,7,7,15,0,276,77,436,3591.16666666661,28.333333333333332,8,1,
poly_196,15,18,-6,13,20,True,6,6,16,0,282,78,124,6410.333333333287,,9,1,
poly_197,15,18,-6,13,20,True,7,7,15,0,274,76,326,2599.49999999999,43.0,9,1,
poly_198,15,18,-6,13,20,True,6,6,15,0,279,74,440,2244.668394160498,,8,2,
poly_199,15,18,-6,13,20,True,7,7,14,0,270,71,1279,2886.333333333307,17.0,8,2,
poly_200,15,18,-6,13,20,True,7,7,15,0,278,68,929,1614.7571250490694,28.333333333333332,8,1,
