poly_id,h11,h21,chi,n_vertices,n_points,is_favorable,tier1_score,tier1_max,n_rigid_dP,n_K3,n_intnums,n_kahler_walls,n_mori_generators,vol_tip,k_ratio,h11_quotient,gl_order,error
poly_385,15,18,-6,14,20,True,7,7,14,0,277,79,527,3662.80032167063,88.0,9,1,
poly_386,15,18,-6,14,20,True,6,6,16,0,275,76,166,12534.99999999954,,7,1,
poly_387,15,18,-6,14,20,True,7,7,14,0,272,78,172,2977.499999999972,29.666666666666668,9,1,
poly_388,15,18,-6,14,20,True,7,7,13,0,264,78,354,8469.833333299364,28.666666666666668,7,1,
poly_389,15,18,-6,14,20,True,7,7,16,0,278,78,515,7890.666666666082,22.0,8,1,
poly_390,15,18,-6,14,20,True,7,7,13,0,272,80,530,12841.999999844711,87.0,10,1,
poly_391,15,18,-6,14,20,True,7,7,13,0,273,71,663,4181.186003153897,29.0,8,1,
poly_392,15,18,-6,14,20,True,6,6,16,1,272,77,323,5054.757333333309,,10,1,
poly_393,15,18,-6,14,20,True,7,7,13,0,270,80,565,5798.661626977057,90.0,9,1,
poly_394,15,18,-6,14,20,True,7,7,13,0,267,84,1278,4920.833333332369,90.0,7,1,
poly_395,15,18,-6,14,20,True,7,7,16,0,281,78,300,15760.499999993393,91.0,9,1,
poly_396,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_397,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_398,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_399,15,18,-6,14,20,True,6,6,13,0,281,84,477,18618.70563881804,,8,1,
poly_400,15,18,-6,15,22,True,7,7,13,0,272,77,715,14031.166666631141,10.875,9,2,
poly_401,15,18,-6,14,20,True,7,7,15,0,284,89,535,4394.208891513272,44.5,9,1,
poly_402,15,18,-6,14,20,True,7,7,14,0,274,76,171,9669.99999999467,29.0,9,1,
poly_403,15,18,-6,14,20,True,7,7,14,0,276,79,271,7109.776055488135,43.5,8,1,
poly_404,15,18,-6,15,20,True,7,7,16,0,280,89,84,15681.40184645235,22.25,8,1,
poly_405,15,18,-6,15,20,True,7,7,15,0,284,78,616,6893.16400220073,87.0,10,1,
poly_406,15,18,-6,14,20,True,6,6,15,0,276,76,599,2719.000630965413,,8,1,
poly_407,15,18,-6,14,20,True,6,6,14,0,275,88,879,7849.633063393629,,9,1,
poly_408,15,18,-6,14,20,True,7,7,14,0,270,82,81,36377.66666654055,88.0,9,1,
poly_409,15,18,-6,14,20,True,7,7,15,0,272,82,682,7376.33333333234,44.0,9,1,
poly_410,15,18,-6,14,20,True,7,7,15,0,272,83,586,4710.24455719051,44.0,10,1,
poly_411,15,18,-6,14,20,True,7,7,13,0,271,79,273,5302.416666663911,42.5,9,1,
poly_412,15,18,-6,14,20,True,7,7,14,0,271,88,1250,8199.833333303954,47.0,10,1,
poly_413,15,18,-6,14,20,True,7,7,13,0,285,82,245,18200.33333330582,29.666666666666668,9,2,
poly_414,15,18,-6,14,20,True,7,7,15,0,277,78,192,3329.3588717021876,44.5,11,1,
poly_415,15,18,-6,14,20,True,7,7,16,0,287,87,372,7040.66666666663,88.0,9,1,
poly_416,15,18,-6,14,20,True,7,7,16,0,271,76,59,17988.99999999923,92.0,8,1,
poly_417,15,18,-6,14,20,True,7,7,15,0,273,80,412,10029.999999994967,29.333333333333332,9,1,
poly_418,15,18,-6,14,20,True,7,7,14,0,274,89,686,13560.245655512208,30.666666666666668,11,1,
poly_419,15,18,-6,14,20,True,7,7,14,0,273,88,318,5158.999999999969,89.0,10,1,
poly_420,15,18,-6,14,21,True,7,7,17,0,280,79,146,7536.166666666159,85.0,8,1,
poly_421,15,18,-6,14,20,True,7,7,16,0,276,83,282,4058.666666666639,84.0,8,1,
poly_422,15,18,-6,14,20,True,7,7,16,0,283,88,861,15580.499999997382,95.0,10,1,
poly_423,15,18,-6,14,20,True,7,7,16,0,284,84,974,18863.624999673324,22.75,9,1,
poly_424,15,18,-6,14,20,True,7,7,16,0,275,87,1376,21913.666666631238,48.5,8,1,
poly_425,15,18,-6,14,20,True,6,6,14,0,283,82,158,5943.999999999955,,7,1,
poly_426,15,18,-6,15,20,True,7,7,15,0,292,77,2678,1454.3112590331148,43.5,7,2,
poly_427,15,18,-6,14,20,True,7,7,14,0,273,84,2374,9165.833333330764,23.25,9,1,
poly_428,15,18,-6,14,20,True,7,7,16,0,283,90,648,9274.666666642392,90.0,9,1,
poly_429,15,18,-6,15,20,True,7,7,14,0,276,81,414,26476.52468679073,18.0,8,1,
poly_430,15,18,-6,14,20,True,7,7,15,0,273,85,1356,21731.16666662105,22.75,9,1,
poly_431,15,18,-6,14,20,True,6,6,15,0,274,84,862,5332.395061728309,,10,1,
poly_432,15,18,-6,14,20,True,7,7,16,0,288,85,219,8903.499999999614,87.0,9,1,
poly_433,15,18,-6,14,20,True,7,7,15,0,264,88,898,10879.381779455747,45.0,11,1,
poly_434,15,18,-6,14,20,True,7,7,15,0,276,81,1192,4079.9999999999627,22.0,10,1,
poly_435,15,18,-6,14,20,True,7,7,14,0,269,84,2855,5937.166666651934,22.5,9,1,
poly_436,15,18,-6,14,21,True,7,7,15,0,268,82,610,11405.999999973597,89.0,12,1,
poly_437,15,18,-6,14,20,True,7,7,15,0,273,86,343,15047.166666614648,30.333333333333332,10,1,
poly_438,15,18,-6,14,20,True,7,7,14,0,270,85,947,8093.166666666614,46.5,9,1,
poly_439,15,18,-6,15,20,True,7,7,15,0,282,91,249,7434.16666666534,44.0,10,1,
poly_440,15,18,-6,14,20,True,6,6,16,1,267,87,544,5707.425453184523,,9,1,
poly_441,15,18,-6,15,20,True,7,7,13,0,278,91,418,7263.414609436325,44.0,11,1,
poly_442,15,18,-6,14,20,True,7,7,15,0,279,87,1097,4615.395061726273,17.6,9,1,
poly_443,15,18,-6,15,22,True,7,7,16,0,278,84,406,16729.499999990516,11.714285714285714,11,1,
poly_444,15,18,-6,14,20,True,6,6,14,0,272,84,1136,9351.216049382501,,9,1,
poly_445,15,18,-6,14,20,True,7,7,17,0,278,76,184,9184.666666666333,22.0,10,1,
poly_446,15,18,-6,14,20,True,7,7,14,0,271,88,448,20047.83333332996,90.0,10,1,
poly_447,15,18,-6,14,20,True,7,7,14,0,273,75,943,3205.16666666658,43.5,10,1,
poly_448,15,18,-6,14,20,True,7,7,14,0,273,81,111,13989.999999996282,88.0,8,1,
poly_449,15,18,-6,14,20,True,7,7,16,0,276,78,102,14774.666666663396,29.0,9,1,
poly_450,15,18,-6,14,20,True,7,7,15,0,277,78,1069,7668.291738850265,29.0,9,1,
poly_451,15,18,-6,14,22,True,7,7,14,0,266,78,254,17417.666666587567,12.428571428571429,8,1,
poly_452,15,18,-6,14,20,True,7,7,14,0,271,80,189,13624.999999995633,29.333333333333332,9,1,
poly_453,15,18,-6,14,20,True,7,7,14,0,277,80,254,9941.166666666499,87.0,9,1,
poly_454,15,18,-6,14,20,True,7,7,15,0,270,83,659,7375.999999999328,29.333333333333332,11,1,
poly_455,15,18,-6,14,20,True,7,7,14,0,274,81,357,18983.6666666441,29.333333333333332,10,1,
poly_456,15,18,-6,14,20,True,7,7,14,0,273,80,545,7550.833333332237,29.333333333333332,9,1,
poly_457,15,18,-6,14,21,True,7,7,15,0,274,85,382,11229.685164550083,17.6,9,1,
poly_458,15,18,-6,14,21,True,7,7,15,0,277,85,617,10414.999999996604,86.0,9,1,
poly_459,15,18,-6,15,22,True,7,7,16,0,277,86,2236,5447.568009292039,13.666666666666666,7,1,
poly_460,15,18,-6,15,20,True,7,7,14,0,306,77,800,2882.6678482836155,87.0,6,4,
poly_461,15,18,-6,15,20,True,7,7,16,0,286,85,303,3957.8198950828623,87.0,8,1,
poly_462,15,18,-6,15,20,True,7,7,16,0,282,88,253,6708.16666666658,87.0,7,1,
poly_463,15,18,-6,15,20,True,6,6,16,0,292,83,696,8965.130275709385,,9,1,
poly_464,15,18,-6,15,20,True,7,7,17,0,289,77,1653,2918.9999999999695,41.0,9,1,
poly_465,15,18,-6,15,20,True,7,7,16,0,290,80,338,5175.86365364335,88.0,8,1,
poly_466,15,18,-6,15,20,True,7,7,15,0,285,84,834,7839.833333328781,88.0,9,1,
poly_467,15,18,-6,15,20,True,7,7,16,0,280,77,285,7943.999999999943,87.0,8,1,
poly_468,15,18,-6,15,20,True,7,7,14,0,283,87,914,6709.129638542453,45.5,8,1,
poly_469,15,18,-6,15,20,True,7,7,15,0,282,91,893,6849.765432094218,91.0,9,1,
poly_470,15,18,-6,16,20,True,7,7,14,0,289,94,1400,6678.833333333242,45.0,9,1,
poly_471,15,18,-6,15,20,True,7,7,16,0,290,87,1844,4692.10210334526,89.0,9,1,
poly_472,15,18,-6,15,20,True,7,7,16,0,287,81,189,3931.33333333315,87.0,9,1,
poly_473,15,18,-6,15,20,True,7,7,13,0,275,91,617,3436.4555981612607,42.5,11,1,
poly_474,15,18,-6,15,20,True,6,6,15,0,272,93,2490,7379.499999999945,,8,1,
poly_475,15,18,-6,15,20,True,7,7,14,0,270,80,113,14300.166666652958,22.0,9,2,
poly_476,15,18,-6,15,20,True,7,7,16,0,294,83,1041,2256.811142993192,88.0,9,1,
poly_477,15,18,-6,15,20,True,7,7,15,0,291,83,655,1579.1648043742357,29.0,11,1,
poly_478,15,18,-6,15,20,True,7,7,16,0,284,82,282,7086.666666655878,29.333333333333332,9,1,
poly_479,15,18,-6,15,20,True,7,7,17,0,273,77,417,5921.3333333332685,22.0,9,1,
poly_480,15,18,-6,15,20,True,7,7,15,0,281,82,448,4465.666666666535,44.0,7,1,
poly_481,15,18,-6,15,20,True,6,6,15,0,277,82,764,3475.6046846281292,,8,1,
poly_482,15,18,-6,15,20,True,6,6,14,0,275,86,825,7405.2708333327155,,9,1,
poly_483,15,18,-6,15,20,True,7,7,14,0,279,87,1467,8775.041666662408,89.0,9,1,
poly_484,15,18,-6,15,20,True,7,7,16,0,284,84,419,5294.303085279433,88.0,9,1,
poly_485,15,18,-6,16,20,True,7,7,17,0,282,84,1149,4958.6041666665915,22.0,6,1,
poly_486,15,18,-6,15,20,True,7,7,16,0,284,91,990,19349.166666258017,91.0,10,1,
poly_487,15,18,-6,15,20,True,7,7,14,0,292,90,488,7286.333333318156,39.0,8,1,
poly_488,15,18,-6,15,20,True,7,7,14,0,277,89,695,3723.187499999973,89.0,9,1,
poly_489,15,18,-6,15,20,True,7,7,16,0,282,94,933,9516.442666660958,45.0,7,1,
poly_490,15,18,-6,15,20,True,7,7,15,0,280,82,350,7237.906486174771,29.666666666666668,8,1,
poly_491,15,18,-6,15,20,True,7,7,15,0,276,88,1351,9298.85770816904,30.0,9,1,
poly_492,15,18,-6,15,20,True,7,7,15,0,301,77,622,2974.2560462299643,43.0,8,2,
poly_493,15,18,-6,15,20,True,7,7,15,0,287,82,2537,3924.999999999767,88.0,10,1,
poly_494,15,18,-6,15,20,True,6,6,14,0,292,86,602,9549.999999999234,,10,1,
poly_495,15,18,-6,15,20,True,7,7,15,0,291,87,386,13080.376492031563,21.75,8,1,
poly_496,15,18,-6,15,20,True,6,6,15,0,293,86,563,9008.833333332956,,7,1,
poly_497,,,,15,19,False,,,,,,,,,,,,non-favorable
poly_498,15,18,-6,16,20,True,7,7,14,0,285,82,864,6223.5640145080815,87.0,10,1,
poly_499,,,,15,19,False,,,,,,,,,,,,non-favorable
