rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
93,159,25,3,5,2408,9,True,467.4999999905439,4,4,3,15,False,4,True,True,su(3) × su(4) × su(5) × su(3),1.2913298606872559
94,1814,25,2,6,2542,7,True,143.99999999998093,5,6,1,15,False,6,True,True,su(4) × su(2) × su(6) × su(3),2.1067943572998047
95,1147,25,2,13,1844,9,True,58.99999999999881,3,1,2,14,False,1,True,True,su(6) × su(7) × U(1)^3,1.497603178024292
96,112,25,2,6,1396,9,True,643.9999999997883,3,1,2,16,True,1,True,True,su(6) × su(9) or e8 × U(1)^1,1.0158908367156982
97,1873,25,2,6,1236,9,True,3363.9999999931506,3,1,2,16,True,1,True,True,su(6) × su(7) × U(1)^3,1.275001049041748
98,111,24,23,6,1278,5,True,94.49999999894179,1,0,11,16,True,0,False,False,,1.6939060688018799
99,164,24,23,6,1004,2,True,1799.9999999944168,1,0,17,16,True,0,False,False,,1.2859165668487549
100,88,24,19,18,1500,3,True,4427.177937716932,1,0,15,14,False,0,False,False,,0.9474442005157471
101,449,24,16,8,2342,2,True,1301.999999999948,1,0,14,15,False,0,False,False,,2.484731435775757
102,36,24,16,6,2426,2,True,279.9430222044936,1,0,14,15,False,0,False,False,,2.5359792709350586
103,278,23,50,14,2164,3,False,0.0,2,1,22,15,False,1,True,True,su(6) × su(4) × su(2) × U(1)^2,2.410997152328491
104,251,23,44,10,2128,4,False,0.0,4,4,25,14,False,4,True,True,su(8) or e7 × su(4) × U(1)^3,0.9436564445495605
105,1170,23,44,10,2470,8,False,0.0,3,3,21,14,False,3,True,False,su(2) × su(3) × su(2) × su(4) × su(3) × U(1)^1,2.110722541809082
106,397,23,40,10,2172,7,False,0.0,4,4,22,14,False,4,True,True,su(8) or e7 × su(4) × U(1)^3,1.094472885131836
107,447,23,39,6,2314,3,False,0.0,2,1,17,15,False,1,True,True,su(2) × su(2) × su(4) × su(6) × U(1)^1,2.459940195083618
108,225,23,37,7,2476,7,False,0.0,4,6,18,15,False,6,True,True,su(4) × su(4) × su(4) × su(3),1.2257933616638184
109,363,23,34,10,2308,4,False,0.0,4,4,20,14,False,4,True,True,su(2) × su(3) × su(2) × su(2) × su(5) × U(1)^3,0.923649787902832
110,758,23,34,6,2272,3,False,0.0,3,3,19,14,False,3,True,True,su(3) × su(3) × su(4) × su(3) × U(1)^1,1.226623296737671
111,116,23,34,17,1492,3,False,0.0,3,1,20,13,False,1,True,True,su(2) × su(5) × su(6) × U(1)^3,1.0614101886749268
112,1953,23,31,10,2926,8,False,0.0,5,8,17,15,False,8,True,True,su(3) × su(3) × su(3) × su(2) × su(2) × su(2) × su(3),1.5021288394927979
113,53,23,30,12,1886,6,False,0.0,5,6,18,14,False,6,True,True,su(4) × su(4) × su(3) × su(5),1.583970308303833
114,1769,23,30,10,2600,7,False,0.0,4,4,18,15,False,4,True,True,su(3) × su(5) × su(3) × su(3) × U(1)^2,1.2895665168762207
115,448,23,30,6,2620,2,False,0.0,2,1,18,15,False,1,True,True,su(2) × su(2) × su(4) × su(2) × su(6),1.7772858142852783
116,296,23,28,8,862,3,False,0.0,2,1,13,16,True,1,True,True,su(2) × su(5) × su(5) × su(2),1.2024509906768799
117,1101,23,27,10,2010,5,False,0.0,4,6,18,14,False,6,True,True,su(2) × su(3) × su(3) × su(4) × su(3) × U(1)^2,1.5219817161560059
118,264,23,27,9,2984,4,False,0.0,3,3,16,15,False,3,True,True,su(3) × su(5) × su(2) × su(4) × U(1)^1,1.4009137153625488
119,1599,23,27,6,1094,5,False,0.0,3,3,13,16,True,3,True,True,su(2) × su(5) × su(2) × su(6),0.7618265151977539
120,412,23,26,10,2338,4,False,0.0,4,6,19,14,False,6,True,True,su(3) × su(3) × su(3) × su(4) × U(1)^3,1.3058552742004395
121,1099,23,26,10,1830,3,False,0.0,4,6,16,14,False,6,True,True,su(2) × su(3) × su(2) × su(3) × su(3) × U(1)^2,0.8753597736358643
122,208,23,26,7,2362,4,False,0.0,4,6,18,14,False,6,True,True,su(3) × su(3) × su(3) × su(2) × su(3) × U(1)^2,1.781618595123291
123,1062,23,26,9,2124,6,False,0.0,4,4,19,14,False,4,True,True,su(3) × su(2) × su(3) × su(5) × U(1)^3,1.4846925735473633
124,1821,23,26,9,2668,5,False,0.0,3,1,13,15,False,1,True,True,su(8) or e7 × su(5) × U(1)^2,2.158027410507202
125,124,23,25,10,1432,3,False,0.0,4,4,12,13,False,4,True,True,su(5) × su(7) × U(1)^4,1.0354127883911133
126,292,23,24,13,2652,4,False,0.0,5,8,10,14,False,8,True,True,su(6) × su(4) × su(4) × U(1)^3,1.542262315750122
127,383,23,24,10,2436,2,False,0.0,4,4,14,14,False,4,True,True,su(2) × su(3) × su(4) × su(5) × U(1)^2,1.0287370681762695
128,1151,23,24,10,2426,4,False,0.0,3,3,17,14,False,3,True,False,su(2) × su(2) × su(4) × su(2) × su(2) × su(2) × U(1)^2,1.3028676509857178
129,2301,23,24,8,1750,4,False,0.0,3,3,15,14,False,3,True,False,su(2) × su(4) × su(2) × su(3) × su(2) × U(1)^2,1.6908433437347412
130,51,23,24,10,1408,6,False,0.0,3,1,14,12,False,1,True,False,su(3) × U(1)^10,0.6756956577301025
131,248,23,23,6,2702,3,False,0.0,6,13,12,14,False,13,True,True,su(3) × su(5) × su(3) × su(4) × U(1)^2,1.2065620422363281
132,585,23,23,9,2012,4,False,0.0,4,6,15,14,False,6,True,True,su(3) × su(2) × su(3) × su(5) × U(1)^2,1.6079161167144775
133,778,23,23,10,2352,4,False,0.0,3,3,15,14,False,3,True,True,su(4) × su(3) × su(2) × su(2) × su(3) × U(1)^1,2.047231912612915
134,1669,23,23,6,994,4,False,0.0,2,1,11,16,True,1,True,True,su(5) × su(8) or e7 × U(1)^1,0.8515546321868896
135,244,23,22,6,2174,9,False,0.0,4,4,11,14,False,4,True,True,su(3) × su(8) or e7 × U(1)^3,0.8802700042724609
136,1169,23,22,6,2468,4,False,0.0,2,1,11,15,False,1,True,False,su(2) × su(2) × su(4) × su(2) × su(4) × U(1)^2,1.612497091293335
137,855,23,21,6,2240,5,False,0.0,3,3,16,15,False,3,True,True,su(7) × su(5) × U(1)^2,1.6991114616394043
138,77,23,21,5,1300,4,False,0.0,3,1,13,16,True,1,True,True,su(5) × su(7) × U(1)^3,1.3281776905059814
139,3041,23,20,6,1218,6,False,0.0,4,4,13,16,True,4,True,True,su(3) × su(2) × su(5) × su(5) × U(1)^1,0.8002176284790039
140,1152,23,20,9,2120,4,False,0.0,3,3,17,14,False,3,True,False,su(2) × su(4) × su(2) × su(2) × su(3) × U(1)^2,1.1083838939666748
141,139,23,19,10,2378,2,False,0.0,3,3,13,14,False,3,True,True,su(3) × su(4) × su(2) × su(4) × U(1)^2,1.556530237197876
142,273,23,19,6,1208,6,False,0.0,3,3,11,16,True,3,True,False,su(4) × su(3) × su(4) × su(2) × su(2),1.5645461082458496
143,575,23,18,7,2094,5,False,0.0,6,7,14,13,False,7,True,True,su(3) × su(2) × su(2) × su(2) × su(5) × U(1)^3,0.7410011291503906
144,217,23,18,10,1230,1,False,0.0,4,4,12,13,False,4,True,True,su(4) × su(3) × su(2) × su(3) × U(1)^4,0.7014224529266357
145,771,23,18,10,1940,3,False,0.0,3,3,14,14,False,3,True,True,su(4) × su(3) × su(2) × su(2) × su(3) × U(1)^1,1.7836177349090576
146,1100,23,17,7,1726,6,False,0.0,5,10,13,14,False,10,True,True,su(2) × su(3) × su(2) × su(4) × su(4) × U(1)^1,1.412177562713623
147,3304,23,17,9,2646,9,False,0.0,4,4,12,15,False,4,True,True,su(4) × su(8) or e7 × U(1)^2,1.3342268466949463
