rank,poly_idx,score,gap,h11_eff,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
117,1125,25,1,15,6,7,2334,7,True,39.99999999999913,5,8,5,False,8,True,True,su(3) × su(2) × su(6) × su(4) × U(1)^2,3.962860107421875
118,1607,25,1,15,4,7,2410,5,True,348.0,6,11,4,False,11,True,True,su(4) × su(6) × su(2) × su(3) × U(1)^2,3.677668571472168
119,159,25,1,15,3,5,2408,9,True,467.4999999905439,4,4,3,False,4,True,True,su(3) × su(4) × su(5) × su(3),3.8284263610839844
120,1814,25,1,15,2,6,2542,7,True,143.99999999998093,5,6,1,False,6,True,True,su(4) × su(2) × su(6) × su(3),3.33070707321167
121,36,24,1,15,16,6,2426,2,True,279.9430222044936,1,0,14,False,0,False,False,,5.155638217926025
122,449,24,1,15,16,8,2342,2,True,1301.999999999948,1,0,14,False,0,False,False,,4.86289119720459
123,278,23,1,15,50,14,2164,3,False,0.0,2,1,22,False,1,True,True,su(6) × su(4) × su(2) × U(1)^2,4.60297155380249
124,447,23,1,15,39,6,2314,3,False,0.0,2,1,17,False,1,True,True,su(2) × su(2) × su(4) × su(6) × U(1)^1,3.767510175704956
125,225,23,1,15,37,7,2476,7,False,0.0,4,6,18,False,6,True,True,su(4) × su(4) × su(4) × su(3),3.5646140575408936
126,1953,23,1,15,31,10,2926,8,False,0.0,5,8,17,False,8,True,True,su(3) × su(3) × su(3) × su(2) × su(2) × su(2) × su(3),4.125810861587524
127,1769,23,1,15,30,10,2600,7,False,0.0,4,4,18,False,4,True,True,su(3) × su(5) × su(3) × su(3) × U(1)^2,3.7883410453796387
128,448,23,1,15,30,6,2620,2,False,0.0,2,1,18,False,1,True,True,su(2) × su(2) × su(4) × su(2) × su(6),6.442714691162109
129,264,23,1,15,27,9,2984,4,False,0.0,3,3,16,False,3,True,True,su(3) × su(5) × su(2) × su(4) × U(1)^1,5.154294490814209
130,1821,23,1,15,26,9,2668,5,False,0.0,3,1,13,False,1,True,True,su(8) or e7 × su(5) × U(1)^2,3.3455095291137695
131,1169,23,1,15,22,6,2468,4,False,0.0,2,1,11,False,1,True,False,su(2) × su(2) × su(4) × su(2) × su(4) × U(1)^2,6.290511131286621
132,855,23,1,15,21,6,2240,5,False,0.0,3,3,16,False,3,True,True,su(7) × su(5) × U(1)^2,3.803312063217163
133,3304,23,1,15,17,9,2646,9,False,0.0,4,4,12,False,4,True,True,su(4) × su(8) or e7 × U(1)^2,4.0532073974609375
134,99,23,1,15,17,6,2324,7,False,0.0,4,4,12,False,4,True,True,su(6) × su(2) × su(6) × U(1)^3,3.9199559688568115
135,291,23,1,15,15,6,2618,5,False,0.0,3,3,12,False,3,True,True,su(4) × su(3) × su(2) × su(3) × U(1)^2,3.4441826343536377
136,682,23,1,15,15,6,2238,6,False,0.0,5,6,13,False,6,True,True,su(2) × su(4) × su(5) × su(3) × U(1)^3,4.024869441986084
137,646,23,1,15,14,6,2122,5,False,0.0,5,10,11,False,10,True,True,su(3) × su(5) × su(2) × su(6),3.8877015113830566
138,2513,23,1,15,10,6,3152,8,False,0.0,6,7,10,False,7,True,True,su(2) × su(4) × su(2) × su(2) × su(5) × U(1)^2,4.416082382202148
139,198,22,1,15,13,6,2576,8,False,0.0,4,4,9,False,4,True,True,su(5) × su(2) × su(7) × U(1)^3,3.277681350708008
140,2467,22,1,15,10,6,3014,8,False,0.0,6,7,9,False,7,True,True,su(3) × su(3) × su(2) × su(2) × su(5) × U(1)^2,3.9814610481262207
141,1272,22,1,15,10,6,2610,6,False,0.0,6,11,6,False,11,True,True,su(2) × su(2) × su(3) × su(4) × su(3) × su(2),6.248032093048096
142,544,22,1,15,9,6,2760,6,False,0.0,4,4,7,False,4,True,True,su(3) × su(2) × su(4) × su(3) × su(3) × U(1)^2,4.026484489440918
143,309,22,1,15,8,16,2278,7,False,0.0,5,6,6,False,6,True,True,su(3) × su(6) × su(2) × su(4) × su(2),3.8228864669799805
144,259,22,1,15,7,5,2950,6,False,0.0,4,4,5,False,4,True,True,su(2) × su(4) × su(7) × U(1)^2,4.999643564224243
145,165,22,1,15,7,9,2300,7,False,0.0,5,6,7,False,6,True,True,su(4) × su(4) × su(3) × su(5) × su(2),4.697180509567261
146,656,22,1,15,5,8,2562,5,False,0.0,6,11,4,False,11,True,True,su(3) × su(3) × su(4) × su(5) × U(1)^2,3.762798309326172
147,324,22,1,15,5,6,2314,4,False,0.0,4,4,2,False,4,True,True,su(2) × su(3) × su(4) × su(2) × su(4) × U(1)^2,4.818540096282959
148,488,22,1,15,4,5,2946,6,False,0.0,2,1,3,False,1,True,True,su(6) × su(2) × su(2) × su(4) × U(1)^2,5.7219460010528564
149,1248,22,1,15,4,5,2462,7,False,0.0,6,11,4,False,11,True,True,su(3) × su(2) × su(6) × su(4),3.5524632930755615
150,1707,22,1,15,3,6,2340,6,False,0.0,4,6,2,False,6,True,True,su(5) × su(2) × su(2) × su(3) × U(1)^3,3.466862201690674
151,167,22,1,15,3,6,2072,7,False,0.0,5,6,3,False,6,True,True,su(4) × su(3) × su(4) × su(5),2.507556915283203
152,149,21,1,15,37,6,2280,2,False,0.0,1,0,21,False,0,False,False,,4.433676242828369
153,237,21,1,15,28,6,2036,4,False,0.0,1,0,20,False,0,False,False,,3.720534086227417
154,105,20,1,15,16,12,2506,0,False,0.0,1,0,11,False,0,False,False,,3.9917471408843994
