h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,h0_3_count,status
16,19,1975,True,16,1052,1052,3,4,ok
16,19,1976,True,16,1372,1372,1,0,ok
16,19,1977,True,16,1260,1260,3,12,ok
16,19,1978,True,16,1442,1442,1,0,ok
16,19,1979,True,16,1476,1476,1,0,ok
16,19,1980,False,13,1584,1584,4,22,ok
16,19,1981,False,15,2328,2328,2,0,ok
16,19,1982,True,16,1342,1342,1,0,ok
16,19,1983,True,16,1218,1218,3,2,ok
16,19,1984,True,16,1210,1210,3,10,ok
16,19,1985,True,16,1504,1504,3,4,ok
16,19,1986,True,16,1132,1132,1,0,ok
16,19,1987,True,16,1220,1220,1,0,ok
16,19,1988,False,15,2872,2872,4,8,ok
16,19,1989,False,15,3262,3262,4,8,ok
16,19,1990,False,15,3162,3162,1,0,ok
16,19,1991,True,16,1332,1332,3,22,ok
16,19,1992,True,16,1322,1322,1,0,ok
16,19,1993,True,16,1334,1334,1,0,ok
16,19,1994,True,16,1320,1320,1,0,ok
16,19,1995,False,15,2744,2744,2,0,ok
16,19,1996,False,15,2992,2992,4,2,ok
16,19,1997,False,15,3036,3036,3,4,ok
16,19,1998,False,15,2788,2788,6,166,ok
16,19,1999,True,16,1374,1374,2,0,ok
16,19,2000,False,15,2470,2470,1,0,ok
16,19,2001,True,16,1184,1184,1,0,ok
16,19,2002,False,15,1980,1980,3,20,ok
16,19,2003,True,16,1182,1182,1,0,ok
16,19,2004,True,16,1250,1250,2,0,ok
16,19,2005,True,16,1496,1496,1,0,ok
16,19,2006,False,15,2720,2720,4,40,ok
16,19,2007,True,16,1152,1152,3,2,ok
16,19,2008,False,15,2316,2316,4,12,ok
16,19,2009,False,15,3360,3360,4,10,ok
16,19,2010,False,14,1748,1748,1,0,ok
16,19,2011,True,16,1272,1272,1,0,ok
16,19,2012,True,16,1462,1462,2,0,ok
16,19,2013,True,16,1208,1208,2,0,ok
16,19,2014,False,15,2366,2366,3,2,ok
16,19,2015,True,16,1162,1162,3,2,ok
16,19,2016,True,16,1338,1338,3,2,ok
