h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
15,18,355,True,15,3006,1818,3,1818,1817,pass
15,18,356,True,15,2298,1,3,1,0,pass
15,18,357,True,15,2054,79,3,79,78,pass
15,18,358,True,15,2606,2606,0,-1,2606,skip
15,18,359,True,15,3058,3058,0,-1,3058,skip
15,18,360,True,15,2186,64,3,64,63,pass
15,18,361,True,15,2074,1,3,1,0,pass
15,18,362,True,15,2512,1115,4,1115,1114,pass
15,18,363,True,15,2366,2366,0,-1,2366,skip
15,18,364,True,15,2140,2140,0,-1,2140,skip
15,18,365,True,15,2826,2826,0,-1,2826,skip
15,18,366,True,15,2046,2046,0,-1,2046,skip
15,18,367,True,15,2390,5,4,5,4,pass
15,18,368,True,15,2168,1,3,1,0,pass
15,18,369,True,15,1974,41,4,41,40,pass
15,18,370,True,15,2112,1,3,1,0,pass
15,18,371,False,14,2286,2286,0,-1,2286,skip
15,18,372,False,14,2136,2136,0,-1,2136,skip
15,18,373,False,14,2022,2022,0,-1,2022,skip
15,18,374,True,15,2554,1885,3,1885,1884,pass
15,18,375,True,15,2178,427,3,427,426,pass
15,18,376,True,15,2556,29,3,29,28,pass
15,18,377,True,15,2148,2148,0,-1,2148,skip
15,18,378,True,15,1974,1974,0,-1,1974,skip
15,18,379,True,15,2332,49,3,49,48,pass
15,18,380,True,15,2440,2440,0,-1,2440,skip
15,18,381,True,15,2702,89,3,89,88,pass
15,18,382,True,15,2250,2250,0,-1,2250,skip
15,18,383,True,15,3146,3146,0,-1,3146,skip
15,18,384,True,15,2530,2530,0,-1,2530,skip
15,18,385,True,15,2704,2704,0,-1,2704,skip
15,18,386,True,15,2562,2562,0,-1,2562,skip
15,18,387,True,15,2464,15,4,15,14,pass
15,18,388,True,15,2352,2352,0,-1,2352,skip
15,18,389,True,15,2466,83,3,83,82,pass
15,18,390,True,15,2182,983,3,983,982,pass
15,18,391,True,15,2612,1,3,1,0,pass
15,18,392,True,15,2138,2138,0,-1,2138,skip
15,18,393,True,15,2022,14,3,14,13,pass
15,18,394,True,15,2606,22,3,22,21,pass
15,18,395,True,15,2638,1,3,1,0,pass
15,18,396,True,15,3460,14,3,14,13,pass
15,18,397,True,15,2162,1,3,1,0,pass
15,18,398,True,15,2376,74,3,74,73,pass
15,18,399,True,15,2386,10,3,10,9,pass
15,18,400,True,15,2860,382,3,382,381,pass
15,18,401,True,15,3028,1194,3,1194,1193,pass
15,18,402,True,15,2134,2134,0,-1,2134,skip
15,18,403,True,15,2056,2056,0,-1,2056,skip
15,18,404,True,15,2414,1629,3,1629,1628,pass
15,18,405,True,15,2294,629,3,629,628,pass
15,18,406,True,15,2958,2958,0,-1,2958,skip
15,18,407,True,15,2338,2338,0,-1,2338,skip
15,18,408,True,15,2446,8,3,8,7,pass
15,18,409,True,15,2484,2484,0,-1,2484,skip
15,18,410,True,15,2114,2114,0,-1,2114,skip
15,18,411,True,15,2048,1,3,1,0,pass
15,18,412,True,15,2210,2210,0,-1,2210,skip
15,18,413,True,15,1992,127,3,127,126,pass
15,18,414,True,15,2806,29,3,29,28,pass
15,18,415,True,15,1960,31,3,31,30,pass
15,18,416,True,15,2938,2938,0,-1,2938,skip
15,18,417,True,15,2252,2252,0,-1,2252,skip
15,18,418,True,15,2556,26,3,26,25,pass
15,18,419,True,15,2528,76,3,76,75,pass
15,18,420,True,15,2292,2292,0,-1,2292,skip
15,18,421,True,15,1978,9,3,9,8,pass
15,18,422,True,15,2810,2810,0,-1,2810,skip
15,18,423,True,15,2314,2314,0,-1,2314,skip
15,18,424,True,15,2168,261,4,261,260,pass
15,18,425,True,15,2264,2264,0,-1,2264,skip
15,18,426,True,15,2298,525,3,525,524,pass
15,18,427,True,15,2280,2280,0,-1,2280,skip
15,18,428,True,15,2796,2796,0,-1,2796,skip
15,18,429,True,15,2828,2828,0,-1,2828,skip
15,18,430,True,15,2238,2238,0,-1,2238,skip
15,18,431,True,15,2130,2130,0,-1,2130,skip
15,18,432,True,15,2174,2174,0,-1,2174,skip
15,18,433,True,15,2296,2296,0,-1,2296,skip
15,18,434,True,15,3012,647,3,647,646,pass
15,18,435,True,15,2438,2438,0,-1,2438,skip
15,18,436,True,15,2758,2758,0,-1,2758,skip
15,18,437,True,15,2402,63,3,63,62,pass
15,18,438,True,15,2820,54,3,54,53,pass
15,18,439,True,15,2610,1255,3,1255,1254,pass
15,18,440,True,15,3064,83,3,83,82,pass
15,18,441,True,15,2760,2760,0,-1,2760,skip
15,18,442,True,15,2016,2016,0,-1,2016,skip
15,18,443,True,15,2014,163,3,163,162,pass
15,18,444,True,15,2276,2276,0,-1,2276,skip
15,18,445,True,15,2480,111,3,111,110,pass
15,18,446,True,15,2488,2488,0,-1,2488,skip
15,18,447,True,15,2562,2562,0,-1,2562,skip
15,18,448,True,15,3088,223,3,223,222,pass
15,18,449,True,15,2900,7,3,7,6,pass
15,18,450,True,15,2370,2370,0,-1,2370,skip
15,18,451,True,15,2384,2384,0,-1,2384,skip
15,18,452,True,15,2484,2484,0,-1,2484,skip
15,18,453,True,15,2578,749,3,749,748,pass
15,18,454,True,15,2310,2310,0,-1,2310,skip
15,18,455,True,15,2796,561,3,561,560,pass
15,18,456,True,15,2836,2836,0,-1,2836,skip
15,18,457,True,15,2346,471,4,471,470,pass
15,18,458,True,15,2600,2600,0,-1,2600,skip
15,18,459,True,15,2476,2476,0,-1,2476,skip
15,18,460,True,15,2078,2078,0,-1,2078,skip
15,18,461,True,15,2376,95,3,95,94,pass
15,18,462,True,15,2140,2140,0,-1,2140,skip
15,18,463,True,15,2960,2960,0,-1,2960,skip
15,18,464,True,15,2224,615,3,615,614,pass
15,18,465,True,15,2338,2338,0,-1,2338,skip
15,18,466,True,15,2152,2152,0,-1,2152,skip
15,18,467,True,15,2364,2364,0,-1,2364,skip
15,18,468,True,15,2388,40,3,40,39,pass
15,18,469,True,15,2814,2814,0,-1,2814,skip
15,18,470,True,15,2898,1573,3,1573,1572,pass
15,18,471,True,15,2804,62,3,62,61,pass
15,18,472,False,14,2814,2814,0,-1,2814,skip
15,18,473,True,15,2820,2820,0,-1,2820,skip
15,18,474,False,14,2420,2420,0,-1,2420,skip
15,18,475,True,15,2812,2812,0,-1,2812,skip
15,18,476,True,15,2760,1572,3,1572,1571,pass
15,18,477,True,15,2322,2322,0,-1,2322,skip
15,18,478,True,15,2070,43,3,43,42,pass
15,18,479,True,15,2630,2630,0,-1,2630,skip
15,18,480,True,15,2522,2522,0,-1,2522,skip
15,18,481,True,15,2310,55,3,55,54,pass
15,18,482,True,15,1978,1978,0,-1,1978,skip
15,18,483,True,15,2458,2458,0,-1,2458,skip
15,18,484,True,15,2334,335,4,335,334,pass
15,18,485,True,15,2280,45,3,45,44,pass
15,18,486,True,15,2466,2466,0,-1,2466,skip
15,18,487,True,15,2658,2658,0,-1,2658,skip
15,18,488,True,15,2786,2083,3,2083,2082,pass
15,18,489,True,15,2512,56,3,56,55,pass
15,18,490,True,15,2210,2210,0,-1,2210,skip
15,18,491,True,15,1976,1976,0,-1,1976,skip
15,18,492,True,15,2248,51,3,51,50,pass
15,18,493,True,15,2884,841,3,841,840,pass
15,18,494,True,15,2044,34,3,34,33,pass
15,18,495,True,15,2482,2482,0,-1,2482,skip
15,18,496,True,15,2350,17,3,17,16,pass
15,18,497,True,15,1978,1978,0,-1,1978,skip
15,18,498,True,15,2846,2846,0,-1,2846,skip
15,18,499,True,15,2118,2118,0,-1,2118,skip
15,18,500,True,15,2024,7,4,7,6,pass
15,18,501,True,15,2682,2682,0,-1,2682,skip
15,18,502,True,15,2556,9,3,9,8,pass
15,18,503,True,15,2612,56,3,56,55,pass
15,18,504,True,15,3112,3112,0,-1,3112,skip
15,18,505,True,15,1952,1061,4,1061,1060,pass
15,18,506,True,15,3736,3736,0,-1,3736,skip
15,18,507,False,14,1722,1722,0,-1,1722,skip
15,18,508,True,15,3466,3466,0,-1,3466,skip
15,18,509,True,15,2194,2194,0,-1,2194,skip
15,18,510,True,15,2576,2576,0,-1,2576,skip
15,18,511,True,15,2156,2156,0,-1,2156,skip
15,18,512,True,15,2536,2536,0,-1,2536,skip
15,18,513,False,14,2434,1447,3,1447,1446,pass
15,18,514,True,15,2522,41,3,41,40,pass
15,18,515,True,15,2594,68,3,68,67,pass
15,18,516,True,15,2196,1151,3,1151,1150,pass
15,18,517,True,15,2374,2374,0,-1,2374,skip
15,18,518,True,15,2776,113,3,113,112,pass
15,18,519,True,15,2742,53,3,53,52,pass
15,18,520,True,15,2934,1,3,1,0,pass
15,18,521,True,15,2194,8,3,8,7,pass
15,18,522,True,15,2260,694,3,694,693,pass
15,18,523,True,15,2380,2380,0,-1,2380,skip
15,18,524,True,15,2228,2228,0,-1,2228,skip
15,18,525,True,15,2190,2190,0,-1,2190,skip
15,18,526,True,15,3016,3016,0,-1,3016,skip
15,18,527,True,15,2776,37,3,37,36,pass
15,18,528,True,15,2112,2112,0,-1,2112,skip
15,18,529,True,15,2240,2240,0,-1,2240,skip
15,18,530,True,15,2714,2714,0,-1,2714,skip
15,18,531,True,15,2378,38,3,38,37,pass
15,18,532,True,15,2266,70,3,70,69,pass
15,18,533,True,15,3014,17,3,17,16,pass
15,18,534,True,15,2314,2314,0,-1,2314,skip
15,18,535,True,15,3214,3214,0,-1,3214,skip
15,18,536,True,15,3364,3364,0,-1,3364,skip
15,18,537,True,15,2786,2786,0,-1,2786,skip
15,18,538,True,15,2912,126,3,126,125,pass
15,18,539,True,15,2352,2352,0,-1,2352,skip
15,18,540,True,15,2654,74,3,74,73,pass
15,18,541,True,15,2436,2436,0,-1,2436,skip
15,18,542,True,15,2424,719,4,719,718,pass
15,18,543,True,15,2170,123,3,123,122,pass
15,18,544,True,15,2276,1385,4,1385,1384,pass
15,18,545,True,15,1988,48,3,48,47,pass
15,18,546,True,15,2768,2768,0,-1,2768,skip
15,18,547,True,15,3052,3052,0,-1,3052,skip
15,18,548,True,15,2592,2592,0,-1,2592,skip
15,18,549,True,15,3144,3144,0,-1,3144,skip
15,18,550,True,15,2386,2386,0,-1,2386,skip
15,18,551,True,15,2620,2620,0,-1,2620,skip
15,18,552,True,15,2414,2414,0,-1,2414,skip
