rank,h11,poly_idx,favorable,h11_eff,tier15_score,probe_n_chi3,probe_truncated,probe_max_h0,probe_h0_ge3,probe_clean,n_k3_fib,n_ell_fib,elapsed_s
104,17,35,False,14,29,300,True,4,16,7,2,1,4.9
105,18,59,False,14,29,300,True,10,19,6,2,1,4.3
106,18,57,False,12,29,300,True,10,21,6,2,1,3.9
107,19,34,False,17,29,300,True,6,12,5,3,1,4.1
108,19,64,False,11,29,300,True,10,22,4,2,1,4.8
109,15,35,True,15,29,300,True,4,76,3,6,7,5.3
110,15,44,True,15,29,300,True,4,15,3,4,6,4.5
111,18,86,False,16,29,300,True,4,14,3,4,4,4.5
112,18,88,False,16,29,300,True,4,12,3,4,4,5.9
113,17,7,False,15,29,300,True,4,10,3,4,4,4.7
114,18,47,False,16,29,300,True,4,46,3,4,4,5.6
115,19,61,False,15,29,300,True,4,32,2,4,4,4.9
116,15,92,True,15,29,300,True,4,102,1,4,4,5.3
117,16,10,True,16,29,300,True,4,58,1,8,11,4.4
118,18,53,True,18,28,300,True,5,60,28,1,0,5.7
119,19,71,False,17,28,300,True,6,56,21,1,0,4.7
120,19,44,False,18,28,300,True,4,46,16,1,0,27.0
121,18,42,False,15,28,300,True,4,21,9,2,1,4.0
122,19,69,False,15,28,300,True,4,26,9,2,1,4.4
123,19,72,False,15,28,300,True,10,62,7,2,1,4.6
124,15,66,True,15,28,300,True,4,40,7,2,1,4.4
125,18,67,False,16,28,300,True,10,34,6,2,1,10.6
126,17,20,False,15,28,300,True,4,15,5,2,1,4.6
127,15,79,True,15,28,300,True,4,22,4,2,1,5.1
128,15,89,True,15,28,300,True,4,12,4,2,1,5.0
129,17,83,True,17,27,300,True,3,10,5,2,1,5.1
130,18,70,True,18,27,300,True,3,10,5,2,1,5.2
131,18,73,True,18,27,300,True,3,8,4,3,1,5.0
132,15,10,False,14,27,300,True,3,8,4,2,1,5.0
133,17,56,False,16,27,300,True,4,8,2,4,4,4.2
134,17,5,False,9,26,230,False,8,20,3,4,1,3.3
135,18,62,False,14,26,300,True,4,24,3,4,1,5.2
136,18,54,False,10,26,300,True,16,36,2,3,1,4.8
137,18,35,False,10,26,300,True,8,30,2,3,1,4.5
138,15,58,False,14,26,300,True,4,6,2,4,6,6.5
139,17,0,False,9,26,198,False,4,12,2,4,1,3.5
140,13,0,True,13,25,300,True,6,46,9,1,0,4.8
141,16,88,False,14,25,300,True,18,47,5,1,0,5.1
142,17,47,False,13,25,300,True,10,30,5,1,0,4.0
143,16,38,False,14,25,300,True,11,30,5,1,0,5.4
144,17,29,True,17,25,300,True,3,8,4,2,1,6.7
145,17,36,False,15,25,300,True,5,12,3,3,1,5.2
146,19,54,False,15,25,300,True,4,24,2,3,1,4.1
147,18,43,False,16,25,300,True,4,22,2,3,1,5.2
148,16,77,True,16,25,300,True,4,10,2,3,1,5.1
149,16,92,True,16,25,300,True,4,12,2,3,1,4.9
150,19,36,False,15,25,300,True,6,30,1,3,1,4.4
151,16,65,True,16,24,300,True,4,24,10,1,0,5.4
152,17,92,False,16,24,300,True,4,32,10,1,0,5.8
153,18,11,False,16,24,300,True,8,50,8,1,0,6.2
154,19,70,False,15,24,300,True,6,53,7,1,0,4.7
155,17,99,False,16,24,300,True,4,30,7,1,0,5.4
156,16,36,False,15,24,300,True,6,43,5,1,0,4.6
157,18,68,False,16,24,300,True,10,24,5,1,0,4.7
158,16,6,True,16,24,300,True,6,50,5,1,0,5.7
159,16,68,True,16,24,300,True,4,20,4,1,0,5.2
160,19,50,False,14,24,300,True,10,26,3,2,1,4.9
161,18,65,True,18,24,300,True,3,6,3,8,11,4.3
162,17,38,False,14,24,300,True,6,44,2,2,1,4.9
163,15,6,False,13,24,300,True,18,37,2,2,1,4.8
164,17,62,False,14,24,300,True,3,4,2,4,6,5.0
165,18,44,True,18,24,300,True,6,6,2,4,4,4.3
166,16,96,False,14,24,300,True,3,4,2,4,4,4.5
167,14,10,False,13,24,300,True,3,4,2,5,8,3.9
168,16,0,False,8,24,300,True,3,4,2,6,11,8.4
169,15,71,False,14,24,300,True,3,4,2,4,6,5.8
170,15,91,False,14,24,300,True,3,4,2,6,11,5.2
171,14,21,True,14,24,300,True,3,4,2,5,10,5.2
172,15,22,False,12,24,300,True,3,4,2,5,6,5.6
173,16,94,False,14,24,300,True,4,4,1,5,6,4.5
174,14,17,False,13,24,300,True,4,4,1,4,4,3.7
175,14,8,False,13,24,300,True,7,4,1,4,4,5.5
176,15,30,False,14,24,300,True,4,4,1,4,4,5.7
177,17,80,True,17,23,300,True,4,26,10,1,0,5.0
178,17,79,True,17,23,300,True,4,28,9,1,0,5.0
179,15,31,True,15,23,300,True,4,18,3,2,1,4.0
180,15,40,True,15,23,300,True,4,12,2,2,1,4.7
181,18,96,False,17,23,300,True,3,5,2,4,4,5.3
182,15,88,True,15,23,300,True,4,10,2,2,1,4.6
183,16,8,False,15,23,300,True,3,4,2,4,6,4.9
