rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
1,2,26,24,11,1416,3,True,58.49999999999601,3,1,12,13,False,1,True,True,su(6) × su(6) × U(1)^2,2.1201529502868652
2,5,25,6,17,1354,5,True,323.99999999999727,3,1,6,13,False,1,True,True,su(6) × su(6) × U(1)^2,2.6926169395446777
3,10,25,4,3,1470,3,True,77.98169645411822,5,8,3,13,False,8,True,True,su(4) × su(4) × su(5) × U(1)^2,2.1769418716430664
4,17,25,4,4,1502,4,True,35.99809653861354,4,4,4,13,False,4,True,True,su(3) × su(3) × su(6) × U(1)^2,2.2440452575683594
5,7,25,1,3,1762,2,True,1005.7499999999083,2,1,1,14,True,1,True,False,su(3) × su(3) × U(1)^4,3.3473446369171143
6,21,23,16,6,1766,3,False,0.0,5,10,12,14,True,10,True,True,su(3) × su(5) × su(2) × su(5),1.9963569641113281
7,4,22,14,13,1508,0,False,0.0,5,6,12,12,False,6,True,True,su(3) × su(5) × su(4) × U(1)^3,2.0011088848114014
8,6,22,9,5,2112,6,False,0.0,2,1,7,14,True,1,True,False,su(3) × U(1)^6,2.7834486961364746
9,3,22,4,3,1400,2,False,0.0,6,11,3,12,False,11,True,True,su(3) × su(3) × su(6) × U(1)^3,1.3037302494049072
10,11,22,3,3,2024,6,False,0.0,2,1,2,14,True,1,True,False,su(3) × U(1)^6,2.6900641918182373
11,14,22,2,3,1980,1,False,0.0,2,1,2,14,True,1,True,False,su(3) × U(1)^6,2.554534673690796
12,8,22,1,7,1276,5,False,0.0,4,4,1,13,False,4,True,True,su(3) × su(3) × su(7) × U(1)^2,2.33201003074646
13,1,22,1,3,1514,3,False,0.0,4,4,1,13,False,4,True,True,su(5) × su(2) × su(6) × U(1)^2,1.720078945159912
14,0,20,1,3,1808,2,False,0.0,1,0,1,14,True,0,False,False,,2.9195268154144287
15,9,17,0,7,1388,3,False,0.0,4,4,0,13,False,4,True,True,su(3) × su(4) × su(6) × U(1)^2,1.790320873260498
