rank,poly_idx,score,gap,h11_eff,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
1,4,22,2,12,14,13,1508,0,False,0.0,5,6,12,False,6,True,True,su(3) × su(5) × su(4) × U(1)^3,1.7561583518981934
2,2,26,1,13,24,11,1416,3,True,58.49999999999601,3,1,12,False,1,True,True,su(6) × su(6) × U(1)^2,1.2956974506378174
3,5,25,1,13,6,17,1354,5,True,323.99999999999727,3,1,6,False,1,True,True,su(6) × su(6) × U(1)^2,2.0897583961486816
4,8,22,1,13,1,7,1276,5,False,0.0,4,4,1,False,4,True,True,su(3) × su(3) × su(7) × U(1)^2,1.3297803401947021
5,9,17,1,13,0,7,1388,3,False,0.0,4,4,0,False,4,True,True,su(3) × su(4) × su(6) × U(1)^2,1.9951322078704834
6,21,23,0,14,16,6,1766,3,False,0.0,5,10,12,True,10,True,True,su(3) × su(5) × su(2) × su(5),1.7167117595672607
7,6,22,0,14,9,5,2112,6,False,0.0,2,1,7,True,1,True,False,su(3) × U(1)^6,1.7955002784729004
