rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
26,271,26,27,10,2834,4,True,1.0118128557223827e-11,3,3,17,15,False,3,True,False,su(2) × su(2) × su(2) × su(2) × su(3) × su(4) × U(1)^2,2.061161994934082
27,270,26,27,10,2900,3,True,2545.999999998964,2,1,17,15,False,1,True,False,su(2) × su(3) × su(3) × su(2) × su(2) × U(1)^3,1.9426679611206055
28,791,26,26,12,2206,5,True,239.9999999999992,5,8,17,15,False,8,True,True,su(3) × su(3) × su(3) × su(4) × su(4) × U(1)^1,1.2740299701690674
29,240,26,26,10,3042,1,True,37.48786689273909,2,1,21,15,False,1,True,False,su(2) × su(2) × su(2) × su(3) × su(4) × U(1)^3,1.955514669418335
30,2338,26,25,10,2928,4,True,3749.999999997604,6,11,16,15,False,11,True,True,su(3) × su(5) × su(6) × U(1)^3,1.6194686889648438
31,1377,26,25,23,2778,3,True,300.028026479622,5,8,18,15,False,8,True,True,su(4) × su(5) × su(2) × su(4) × su(2) × U(1)^1,2.2553372383117676
32,985,26,25,10,2060,6,True,6439.999999992999,4,4,16,15,False,4,True,True,su(3) × su(8) or e7 × su(4) × U(1)^2,2.0472655296325684
33,8,26,25,10,1386,4,True,2207.9999999999204,3,3,17,13,False,3,True,True,su(3) × su(3) × su(7) × U(1)^3,1.0107159614562988
34,902,26,25,10,2540,4,True,6002.461538374065,3,3,19,15,False,3,True,True,su(6) × su(7) × U(1)^2,2.358299970626831
35,959,26,25,13,2280,6,True,5.4001247917767614e-12,3,1,17,15,False,1,True,True,su(7) × su(7) × U(1)^3,2.369084358215332
36,312,26,25,10,1964,6,True,1199.999999999984,3,1,13,14,False,1,True,True,su(5) × su(8) or e7 × U(1)^4,0.921942949295044
37,1471,26,24,11,2134,3,True,797.7885553868708,6,11,11,13,False,11,True,True,su(4) × su(2) × su(6) × su(2) × U(1)^3,1.4748587608337402
38,2826,26,24,12,2130,6,True,275.9999999999993,5,6,14,15,False,6,True,True,su(3) × su(8) or e7 × su(4) × U(1)^2,1.5031561851501465
39,1526,26,24,10,2420,6,True,1581.9999999969284,4,4,14,15,False,4,True,True,su(8) or e7 × su(6) × U(1)^3,1.5028893947601318
40,2662,26,24,10,2430,5,True,247.99999999996905,4,4,14,15,False,4,True,True,su(2) × su(9) or e8 × su(4) × U(1)^2,1.3455722332000732
41,681,26,23,10,2356,10,True,719.9999999999974,5,6,16,14,False,6,True,True,su(4) × su(8) or e7 × U(1)^4,0.9444468021392822
42,1325,26,23,15,1888,5,True,209.99999999999991,4,4,18,14,False,4,True,True,su(4) × su(7) × su(3) × U(1)^3,0.8534836769104004
43,744,26,23,10,2300,6,True,143.9999999999352,4,4,12,15,False,4,True,True,su(5) × su(8) or e7 × U(1)^3,2.1342039108276367
44,1942,26,23,10,2462,6,True,61.49999999999988,4,4,12,15,False,4,True,True,su(5) × su(8) or e7 × U(1)^4,1.6272516250610352
45,326,26,23,12,2040,5,True,53.99999999999918,3,3,12,14,False,3,True,True,su(8) or e7 × su(3) × su(2) × U(1)^3,1.544400691986084
46,162,26,23,10,2698,1,True,962.9999999791012,2,1,11,15,False,1,True,True,su(7) × su(2) × su(2) × su(4) × U(1)^2,1.723249912261963
47,695,26,22,19,2238,4,True,53.99999999999989,6,15,14,15,False,15,True,True,su(2) × su(4) × su(2) × su(3) × su(6),2.09631609916687
48,2065,26,22,10,1774,4,True,177.22855722947745,6,7,15,13,False,7,True,True,su(2) × su(4) × su(2) × su(5) × su(2) × U(1)^3,0.6430115699768066
49,2833,26,22,12,2868,10,True,239.99999999999974,4,4,14,15,False,4,True,True,su(5) × su(3) × su(4) × U(1)^2,1.355738878250122
50,516,26,22,10,1572,5,True,596.9999999999815,4,4,14,14,False,4,True,True,su(3) × su(9) or e8 × U(1)^5,1.2430782318115234
51,679,26,22,10,2078,5,True,699.2222222222194,4,4,17,13,False,4,True,True,su(2) × su(4) × su(7) × U(1)^4,1.1855194568634033
52,641,26,22,10,1928,6,True,1943.9999999985573,4,4,14,14,False,4,True,True,su(5) × su(7) × U(1)^4,1.523573637008667
53,1027,26,22,10,2486,5,True,359.99999999941326,3,3,15,15,False,3,True,True,su(3) × su(4) × su(4) × su(3) × U(1)^1,2.57321834564209
54,984,26,21,12,1828,7,True,599.9999999999985,5,6,19,14,False,6,True,True,su(2) × su(2) × su(5) × su(5) × U(1)^2,1.31085205078125
55,918,26,21,12,2592,1,True,1399.9999999999839,3,3,13,15,False,3,True,True,su(3) × su(4) × su(2) × su(4) × su(3),2.385045289993286
56,13144,26,20,12,2854,8,True,1553.8392800247996,6,11,14,15,False,11,True,True,su(4) × su(4) × su(2) × su(2) × su(2) × su(2) × su(2),2.333184242248535
57,3842,26,20,16,2898,8,True,335.99999999999966,6,8,14,15,False,8,True,True,su(2) × su(2) × su(3) × su(5) × su(4) × U(1)^1,1.2796852588653564
58,488,26,20,10,2290,4,True,2.1320959209707018e-11,6,7,13,15,False,7,True,True,su(3) × su(5) × su(6) × su(2),2.059527635574341
59,166,26,20,10,2336,4,True,1111.9999999999923,4,4,13,15,False,4,True,True,su(6) × su(7) × U(1)^4,2.127493381500244
60,1178,26,20,10,1870,7,True,203.9999999999997,4,4,12,14,False,4,True,True,su(5) × su(8) or e7 × U(1)^4,1.287355661392212
61,1109,26,20,10,2292,7,True,449.9999999991019,3,3,18,15,False,3,True,True,su(3) × su(2) × su(7) × su(2) × su(2) × U(1)^2,2.360585927963257
62,267,26,19,10,1760,4,True,29.499999999991452,4,4,14,14,False,4,True,True,su(5) × su(8) or e7 × U(1)^4,1.4505395889282227
63,1268,26,19,10,1584,5,True,851.6666666666637,4,4,16,13,False,4,True,True,su(2) × su(4) × su(7) × U(1)^4,0.5965003967285156
64,2423,26,19,10,2184,8,True,103.99999999999982,4,4,15,14,False,4,True,True,su(2) × su(5) × su(6) × U(1)^3,0.91322922706604
65,350,26,19,10,1984,5,True,587.9999999999944,3,3,14,13,False,3,True,True,su(4) × su(2) × su(2) × su(3) × su(2) × su(3) × U(1)^1,1.411853313446045
66,382,26,19,10,1930,7,True,1.2732925824820995e-11,3,3,14,14,False,3,True,True,su(3) × su(2) × su(5) × su(3) × su(2) × U(1)^3,1.313295602798462
67,1311,26,19,10,2842,7,True,2309.9999999990428,3,1,15,15,False,1,True,True,su(2) × su(5) × su(7) × U(1)^3,1.4983839988708496
68,2334,26,18,10,2280,5,True,25.666666666666572,5,8,14,14,False,8,True,True,su(5) × su(3) × su(3) × su(3) × U(1)^2,1.0266873836517334
69,384,26,18,10,2446,8,True,347.9999999999336,5,6,10,15,False,6,True,True,su(2) × su(2) × su(4) × su(8) or e7 × U(1)^1,1.4546458721160889
70,57,26,18,10,1784,7,True,881.9999999999895,4,4,13,14,False,4,True,True,su(4) × su(9) or e8 × U(1)^4,1.15693998336792
71,141,26,18,10,1534,1,True,18.49999999999998,3,3,13,14,False,3,True,True,su(4) × su(4) × su(2) × su(3) × U(1)^3,0.7606706619262695
72,491,26,18,14,1676,4,True,454.9999999997232,3,1,15,13,False,1,True,True,su(5) × su(8) or e7 × U(1)^4,1.1548476219177246
73,1643,26,17,19,1756,6,True,265.5000000000002,5,6,13,13,False,6,True,True,su(6) × su(6) × U(1)^5,0.7764379978179932
74,109,26,17,10,2394,5,True,1949.9999999997701,2,1,10,15,False,1,True,True,su(3) × su(2) × su(5) × su(3) × su(4) × U(1)^1,2.427194595336914
75,356,26,16,10,2364,7,True,559.9999999999441,3,3,12,15,False,3,True,True,su(3) × su(2) × su(5) × su(3) × su(3) × U(1)^2,1.292602300643921
76,81,26,16,10,2164,5,True,566.9999999998803,2,1,11,15,False,1,True,True,su(3) × su(10) × U(1)^2,1.7682223320007324
77,423,26,15,23,1884,5,True,1341.9999999995782,4,4,11,14,False,4,True,True,su(6) × su(7) × U(1)^3,1.5270130634307861
78,935,26,15,14,2556,8,True,671.9999999999836,4,4,14,15,False,4,True,True,su(6) × su(8) or e7 × U(1)^2,2.276482582092285
79,288,26,15,10,1938,4,True,48.00000000038824,4,4,11,14,False,4,True,True,su(7) × su(6) × U(1)^3,1.5775666236877441
80,961,26,15,10,1754,6,True,2287.999999998942,4,4,10,14,False,4,True,True,su(6) × su(7) × U(1)^3,0.8680331707000732
81,63,26,14,12,1510,6,True,83.99999999999986,5,6,12,13,False,6,True,True,su(3) × su(9) or e8 × U(1)^5,0.9761166572570801
82,160,26,14,14,1370,5,True,201.95999999981666,4,4,10,13,False,4,True,True,su(4) × su(9) or e8 × U(1)^4,0.5919857025146484
83,808,26,13,10,2164,7,True,643.4999999999997,6,7,11,14,False,7,True,True,su(2) × su(5) × su(2) × su(5) × U(1)^3,1.0410561561584473
84,21,26,13,13,1334,4,True,242.99999999998613,4,6,11,13,False,6,True,True,su(2) × su(3) × su(2) × su(4) × su(4) × U(1)^2,0.9618346691131592
85,2482,26,13,13,3104,2,True,20.496388279422334,5,6,10,15,False,6,True,True,su(6) × su(4) × su(3) × su(2) × U(1)^1,1.6174321174621582
86,15310,26,11,16,2364,6,True,15.999999999999993,4,6,10,15,False,6,True,True,su(2) × su(5) × su(7) × U(1)^2,2.1971471309661865
87,995,26,11,14,2082,7,True,24.499999999999723,4,4,10,14,False,4,True,True,su(6) × su(7) × U(1)^3,0.9430804252624512
88,53,25,45,10,1968,0,True,1015.9999999999807,3,3,20,14,False,3,True,False,su(3) × su(4) × su(2) × su(3) × U(1)^4,1.2255430221557617
89,494,25,42,11,1786,0,True,165.4999999998253,2,1,19,14,False,1,True,False,su(2) × su(3) × su(4) × su(2) × su(2) × U(1)^3,0.9104173183441162
90,96,25,31,37,1282,0,True,251.99999999998963,2,1,23,13,False,1,True,False,su(2) × su(3) × su(4) × su(2) × U(1)^4,1.0963449478149414
91,51,25,30,10,1950,0,True,209.99999999991198,3,3,16,14,False,3,True,False,su(2) × su(2) × su(2) × su(2) × su(3) × su(3) × U(1)^2,1.6152281761169434
92,183,25,15,10,1648,5,True,512.4999999999702,3,3,9,13,False,3,True,True,su(5) × su(3) × su(3) × su(2) × U(1)^4,0.6451036930084229
93,786,25,14,19,1686,5,True,87.49999999999989,4,4,5,13,False,4,True,True,su(7) × su(2) × su(2) × su(3) × U(1)^3,0.6670746803283691
94,300,25,13,11,1694,5,True,1124.9999999999163,4,4,9,13,False,4,True,True,su(7) × su(6) × U(1)^4,1.189911127090454
95,90,25,13,16,2342,5,True,1167.9999999999864,3,3,5,13,False,3,True,True,su(2) × su(4) × su(2) × su(2) × su(3) × su(2) × U(1)^2,0.7388026714324951
96,340,25,13,11,1588,7,True,8607.999999879668,3,1,9,14,False,1,True,True,su(7) × su(6) × U(1)^4,0.8168787956237793
97,1124,25,12,10,2748,7,True,803.9999999999973,4,4,8,15,False,4,True,True,su(2) × su(2) × su(4) × su(6) × U(1)^3,1.506631851196289
98,113,25,11,18,1974,5,True,185.99999999997203,2,1,8,13,False,1,True,False,su(2) × su(2) × su(4) × su(4) × U(1)^3,0.8547573089599609
99,1424,25,11,13,3044,8,True,74.99999999999997,3,1,9,15,False,1,True,True,su(7) × su(7) × U(1)^3,2.6129391193389893
100,443,25,10,10,2652,3,True,59.265306122437494,4,4,9,15,False,4,True,True,su(5) × su(2) × su(5) × su(4) × U(1)^1,2.242182970046997
101,355,25,10,19,2158,2,True,1275.288139308861,3,3,7,15,False,3,True,True,su(7) × su(6) × U(1)^2,1.260542631149292
102,139,25,10,17,1566,2,True,63.99918806712571,2,1,7,13,False,1,True,False,su(3) × su(2) × su(4) × su(4) × U(1)^2,0.8789699077606201
103,41,25,9,12,2650,6,True,329.999999999993,3,3,8,15,False,3,True,True,su(4) × su(4) × su(4) × su(3) × U(1)^1,1.337402105331421
104,344,25,8,20,2652,10,True,512.9999999999987,5,6,6,15,False,6,True,True,su(3) × su(8) or e7 × su(4) × U(1)^1,2.4704933166503906
105,1378,25,8,19,2688,8,True,912.4999999996129,4,4,6,15,False,4,True,True,su(6) × su(9) or e8 × U(1)^1,2.6933681964874268
106,3754,25,8,19,2522,8,True,287.9999999999854,4,4,8,15,False,4,True,True,su(6) × su(8) or e7 × U(1)^2,2.2756876945495605
107,596,25,8,13,986,4,True,43.99999999999967,4,4,6,14,False,4,True,True,su(6) × su(2) × su(4) × U(1)^4,1.0120816230773926
108,111,25,8,10,1660,3,True,131.94444444444233,2,1,5,13,False,1,True,False,su(4) × su(4) × U(1)^5,0.7238287925720215
109,5030,25,7,13,2736,5,True,599.9867124752717,6,11,6,15,False,11,True,True,su(5) × su(3) × su(5) × su(2) × U(1)^1,2.448258399963379
110,3847,25,7,17,2402,6,True,107.99999999999959,4,4,7,15,False,4,True,True,su(5) × su(8) or e7 × U(1)^4,2.1419293880462646
111,618,25,6,10,768,4,True,155.5199999999908,4,4,5,12,False,4,True,True,su(6) × su(5) × U(1)^5,0.5682210922241211
112,991,25,5,10,1470,5,True,11.999999999999375,3,1,4,13,False,1,True,True,su(5) × su(8) or e7 × U(1)^4,1.0453383922576904
113,336,25,4,10,2306,6,True,749.9999999999977,3,3,4,15,False,3,True,True,su(9) or e8 × su(3) × su(2) × U(1)^2,2.0385971069335938
114,17,24,26,10,2454,3,True,3165.499999995174,1,0,19,15,False,0,False,False,,1.7047765254974365
115,60,24,26,10,2188,3,True,2194.4999999994425,1,0,20,15,False,0,False,False,,2.1573033332824707
116,150,24,25,11,1854,1,True,1824.9999999996535,1,0,17,14,False,0,False,False,,1.5598340034484863
117,2548,23,54,10,2404,7,False,0.0,4,4,26,15,False,4,True,True,su(5) × su(8) or e7 × U(1)^3,2.096613645553589
118,1040,23,50,16,2924,6,False,0.0,3,1,23,15,False,1,True,False,su(3) × su(4) × su(2) × su(4) × U(1)^4,2.180384874343872
119,14261,23,46,22,2026,6,False,0.0,4,4,16,15,False,4,True,True,su(3) × su(9) or e8 × su(3) × U(1)^2,1.191169023513794
120,883,23,43,10,2216,6,False,0.0,4,4,21,15,False,4,True,True,su(9) or e8 × su(3) × U(1)^4,1.491168737411499
121,36,23,40,16,2740,3,False,0.0,3,1,14,15,False,1,True,False,su(4) × su(4) × su(4) × su(4) × U(1)^1,2.730722665786743
122,366,23,39,11,2744,5,False,0.0,3,1,20,15,False,1,True,True,su(2) × su(4) × su(2) × su(6) × U(1)^3,2.7140424251556396
123,1632,23,38,10,3316,3,False,0.0,3,3,24,15,False,3,True,True,su(2) × su(2) × su(2) × su(2) × su(2) × su(4) × su(4),2.906524658203125
124,975,23,35,10,2676,4,False,0.0,5,8,18,15,False,8,True,True,su(2) × su(6) × su(6) × U(1)^3,1.3700709342956543
125,245,23,34,11,2366,5,False,0.0,4,4,18,15,False,4,True,True,su(3) × su(9) or e8 × U(1)^3,1.2538566589355469
126,916,23,31,34,2192,5,False,0.0,4,4,18,15,False,4,True,True,su(2) × su(9) or e8 × su(4) × U(1)^2,2.0890116691589355
127,360,23,31,12,2084,7,False,0.0,4,4,18,14,False,4,True,True,su(4) × su(4) × su(2) × su(4) × su(2),1.7459187507629395
128,1039,23,31,10,2964,5,False,0.0,3,1,20,15,False,1,True,False,su(3) × su(4) × su(2) × su(4) × su(2) × U(1)^3,2.840641498565674
129,1441,23,30,10,2716,6,False,0.0,5,6,15,15,False,6,True,True,su(4) × su(6) × su(2) × su(3) × U(1)^1,2.221275568008423
130,830,23,30,23,2468,2,False,0.0,3,3,15,15,False,3,True,True,su(4) × su(4) × su(3) × su(2) × U(1)^2,2.58603572845459
131,625,23,30,14,2164,4,False,0.0,2,1,19,15,False,1,True,False,su(3) × su(3) × su(3) × su(3) × U(1)^4,1.4571118354797363
132,242,23,30,10,3670,4,False,0.0,2,1,20,15,False,1,True,False,su(2) × su(2) × su(2) × su(3) × su(4) × U(1)^3,2.1908154487609863
133,1852,23,29,16,2568,3,False,0.0,4,6,17,15,False,6,True,True,su(2) × su(3) × su(6) × su(5) × U(1)^1,1.7998313903808594
134,3608,23,29,12,2534,5,False,0.0,5,6,18,14,False,6,True,True,su(3) × su(6) × su(5) × U(1)^3,1.0522668361663818
135,978,23,29,11,3058,3,False,0.0,2,1,16,15,False,1,True,False,su(3) × su(2) × su(4) × su(2) × su(2) × su(3) × U(1)^2,1.9586820602416992
136,707,23,28,10,2808,5,False,0.0,4,6,17,15,False,6,True,True,su(2) × su(2) × su(4) × su(4) × su(3) × U(1)^3,1.4198710918426514
137,446,23,28,10,2250,8,False,0.0,4,4,17,14,False,4,True,True,su(3) × su(2) × su(8) or e7 × U(1)^3,0.9565560817718506
138,2349,23,28,10,1956,4,False,0.0,4,4,16,14,False,4,True,True,su(6) × su(6) × U(1)^3,1.425525426864624
139,202,23,28,12,1870,2,False,0.0,3,1,15,14,False,1,True,False,su(2) × su(4) × su(2) × su(4) × U(1)^5,0.8195436000823975
140,190,23,27,10,2014,5,False,0.0,3,1,14,14,False,1,True,False,su(2) × su(4) × su(2) × su(4) × su(2) × U(1)^4,1.7324230670928955
141,12565,23,26,15,2426,3,False,0.0,5,8,17,15,False,8,True,True,su(2) × su(6) × su(6) × U(1)^2,1.3430004119873047
142,414,23,26,13,2558,6,False,0.0,5,6,14,15,False,6,True,True,su(6) × su(4) × su(4) × su(2),1.8244316577911377
143,1908,23,26,10,2800,7,False,0.0,5,6,21,14,False,6,True,True,su(6) × su(6) × U(1)^4,1.9240491390228271
144,5252,23,26,15,1860,5,False,0.0,4,4,17,15,False,4,True,True,su(3) × su(8) or e7 × su(4) × U(1)^2,1.9162545204162598
145,9486,23,25,12,2814,4,False,0.0,5,10,16,15,False,10,True,True,su(2) × su(3) × su(2) × su(5) × su(4) × U(1)^1,1.4846973419189453
146,301,23,25,13,1718,4,False,0.0,5,6,17,13,False,6,True,True,su(4) × su(8) or e7 × U(1)^5,0.6586956977844238
147,974,23,25,14,2208,5,False,0.0,4,4,18,15,False,4,True,True,su(9) or e8 × su(3) × U(1)^3,2.0680155754089355
148,215,23,24,16,2454,3,False,0.0,6,8,13,15,False,8,True,True,su(2) × su(3) × su(5) × su(2) × su(4) × U(1)^1,1.764664888381958
149,578,23,24,11,1268,5,False,0.0,5,6,16,13,False,6,True,True,su(5) × su(6) × U(1)^5,0.9265472888946533
150,742,23,23,10,2000,4,False,0.0,6,11,17,14,False,11,True,True,su(3) × su(3) × su(3) × su(6) × U(1)^2,1.504704475402832
151,7044,23,22,12,2486,5,False,0.0,4,6,16,15,False,6,True,True,su(2) × su(2) × su(6) × su(5) × U(1)^2,2.150519609451294
152,1518,23,21,13,1522,5,False,0.0,5,6,14,13,False,6,True,True,su(7) × su(5) × U(1)^5,0.6278166770935059
153,1310,23,21,10,2556,3,False,0.0,5,6,14,13,False,6,True,True,su(3) × su(5) × su(5) × U(1)^4,1.3965938091278076
154,834,23,21,10,2892,6,False,0.0,4,4,14,15,False,4,True,True,su(2) × su(2) × su(4) × su(8) or e7 × U(1)^1,2.385223388671875
155,1041,23,21,10,2868,7,False,0.0,3,1,12,15,False,1,True,False,su(2) × su(4) × su(2) × su(4) × su(3) × U(1)^3,1.6118321418762207
156,9,23,21,10,1346,0,True,71.98665944476318,1,0,14,13,False,0,False,False,,1.054990291595459
157,2233,23,20,10,2632,8,False,0.0,6,7,15,15,False,7,True,True,su(2) × su(6) × su(6) × U(1)^2,2.1412508487701416
158,2553,23,20,12,2432,7,False,0.0,5,6,17,15,False,6,True,True,su(9) or e8 × su(4) × U(1)^3,2.138310670852661
159,891,23,19,10,2018,5,False,0.0,5,6,13,13,False,6,True,True,su(2) × su(5) × su(6) × U(1)^4,1.099428415298462
160,521,23,19,23,2538,4,False,0.0,3,3,15,15,False,3,True,True,su(6) × su(7) × U(1)^2,1.3974432945251465
161,1633,23,19,10,3192,8,False,0.0,3,3,17,15,False,3,True,True,su(2) × su(3) × su(2) × su(2) × su(3) × su(4) × su(3),1.6448783874511719
162,2981,23,18,11,2234,7,False,0.0,7,9,13,15,False,9,True,True,su(2) × su(2) × su(6) × su(5) × U(1)^1,1.9361417293548584
163,2450,23,18,10,2504,8,False,0.0,6,7,13,15,False,7,True,True,su(2) × su(6) × su(7) × U(1)^1,1.4536306858062744
164,924,23,18,24,2204,5,False,0.0,4,4,16,15,False,4,True,True,su(6) × su(6) × U(1)^3,2.0546939373016357
165,1917,23,18,15,1840,5,False,0.0,4,4,14,13,False,4,True,True,su(5) × su(7) × U(1)^4,0.6791806221008301
166,2378,23,18,10,2038,7,False,0.0,4,4,13,14,False,4,True,True,su(6) × su(6) × U(1)^3,1.5653290748596191
167,1164,23,17,10,1836,8,False,0.0,5,6,10,14,False,6,True,True,su(4) × su(9) or e8 × U(1)^4,1.2586133480072021
168,2829,23,17,12,2560,9,False,0.0,4,4,13,15,False,4,True,True,su(4) × su(8) or e7 × U(1)^3,2.1437299251556396
169,1496,23,16,20,1712,7,False,0.0,5,6,12,13,False,6,True,True,su(6) × su(6) × U(1)^5,1.1102380752563477
170,893,23,16,16,2710,9,False,0.0,4,6,13,15,False,6,True,True,su(6) × su(2) × su(2) × su(3) × su(2) × U(1)^3,1.3047349452972412
171,914,23,16,16,2740,7,False,0.0,4,6,13,15,False,6,True,True,su(2) × su(2) × su(4) × su(5) × su(2) × U(1)^3,1.3105170726776123
172,2507,23,16,10,2842,7,False,0.0,5,6,14,15,False,6,True,True,su(4) × su(3) × su(4) × su(3) × U(1)^2,2.2461938858032227
173,2331,23,14,10,2812,6,False,0.0,7,9,11,15,False,9,True,True,su(2) × su(6) × su(6) × U(1)^3,2.254413604736328
174,249,23,14,17,1620,5,False,0.0,4,4,10,13,False,4,True,True,su(4) × su(9) or e8 × U(1)^4,1.1010947227478027
175,1438,23,14,10,1700,5,False,0.0,4,4,11,13,False,4,True,True,su(3) × su(9) or e8 × U(1)^3,0.6615896224975586
176,203,23,14,10,2360,4,False,0.0,3,3,11,15,False,3,True,True,su(4) × su(4) × su(3) × su(3) × U(1)^2,1.1506223678588867
177,575,23,14,16,2638,6,False,0.0,3,1,13,15,False,1,True,False,su(2) × su(4) × su(2) × su(4) × su(2) × U(1)^4,2.1477761268615723
178,116,23,12,13,2468,4,False,0.0,2,1,10,15,False,1,True,False,su(4) × su(4) × su(4) × su(2) × U(1)^2,2.5180814266204834
179,47,23,6,10,1572,3,True,47.11111111111005,1,0,4,13,False,0,False,False,,1.151655912399292
180,48,23,5,10,1536,2,True,1701.2525506260872,1,0,4,13,False,0,False,False,,1.3394763469696045
181,2417,22,15,10,2690,9,False,0.0,5,6,9,14,False,6,True,True,su(6) × su(6) × U(1)^4,1.0934009552001953
182,196,22,15,13,1988,1,False,0.0,2,1,8,15,False,1,True,True,su(6) × su(2) × su(4) × su(3) × U(1)^1,2.3836851119995117
183,1351,22,13,10,2424,3,False,0.0,3,1,9,15,False,1,True,False,su(4) × su(3) × su(3) × su(4) × U(1)^3,1.5706186294555664
184,214,22,12,16,2416,4,False,0.0,6,8,6,15,False,8,True,True,su(2) × su(3) × su(5) × su(2) × su(4) × U(1)^1,1.1730103492736816
185,445,22,12,10,1502,6,False,0.0,5,6,9,13,False,6,True,True,su(3) × su(9) or e8 × U(1)^5,0.9844732284545898
186,2406,22,11,10,3146,6,False,0.0,7,9,9,15,False,9,True,True,su(2) × su(2) × su(6) × su(5) × U(1)^1,2.332845449447632
187,551,22,10,16,2258,3,False,0.0,6,8,8,15,False,8,True,True,su(2) × su(4) × su(6) × su(2) × su(3),1.979527473449707
188,1006,22,10,10,2392,7,False,0.0,6,7,7,15,False,7,True,True,su(3) × su(2) × su(4) × su(3) × su(5),1.4159071445465088
189,1348,22,10,10,2360,7,False,0.0,6,7,9,15,False,7,True,True,su(3) × su(3) × su(3) × su(4) × su(4),2.4344403743743896
