rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
1,767,26,59,17,2468,3,True,1.4997244502035105,5,10,25,15,False,10,True,True,su(2) × su(4) × su(2) × su(3) × su(6),1.4331605434417725
2,389,26,41,10,2410,3,True,185.4707394332465,2,1,28,15,False,1,True,False,su(2) × su(3) × su(4) × su(2) × su(3) × U(1)^2,2.2651991844177246
3,251,26,38,10,2110,6,True,539.104772407768,4,4,21,15,False,4,True,True,su(4) × su(9) or e8 × U(1)^3,1.9968175888061523
4,1033,26,35,15,3016,5,True,63.986890859010046,6,11,21,15,False,11,True,True,su(2) × su(4) × su(4) × su(2) × su(3) × su(2) × U(1)^1,2.4650535583496094
5,1096,26,35,12,3020,6,True,343.9999999999556,4,4,22,15,False,4,True,True,su(4) × su(8) or e7 × U(1)^3,1.7667934894561768
6,996,26,35,32,3580,3,True,30.249999999999833,3,3,19,15,False,3,True,True,su(4) × su(4) × su(2) × su(4) × su(2),2.1035428047180176
7,4126,26,35,11,2484,5,True,73.52087163783764,3,3,19,15,False,3,True,True,su(6) × su(6) × su(3) × U(1)^1,1.7894649505615234
8,1180,26,34,10,2178,6,True,563.9999999999991,5,6,14,14,False,6,True,True,su(5) × su(8) or e7 × U(1)^4,1.6574699878692627
9,2297,26,33,23,2466,6,True,27.999999999999943,5,8,15,14,False,8,True,True,su(2) × su(6) × su(6) × U(1)^3,1.293522834777832
10,894,26,33,10,2760,5,True,110.0057155680938,4,6,18,15,False,6,True,True,su(2) × su(2) × su(4) × su(5) × su(2) × U(1)^3,1.382631778717041
11,543,26,33,10,2828,7,True,47.99999999999709,3,1,21,15,False,1,True,True,su(3) × su(4) × su(7) × U(1)^3,1.5318036079406738
12,923,26,32,10,2352,6,True,84.0000000000004,4,4,15,15,False,4,True,True,su(5) × su(9) or e8 × U(1)^3,2.364443302154541
13,860,26,31,12,3044,8,True,1138.499999998898,5,6,19,15,False,6,True,True,su(4) × su(3) × su(4) × su(3) × U(1)^2,1.4332640171051025
14,229,26,31,10,1712,4,True,663.9999999998774,4,4,14,13,False,4,True,True,su(5) × su(7) × U(1)^5,1.1577694416046143
15,1061,26,31,14,2470,4,True,389.99999999999216,3,1,16,15,False,1,True,True,su(3) × su(4) × su(2) × su(5) × U(1)^3,1.669260025024414
16,120,26,31,10,3156,3,True,92.99999999992704,2,1,19,15,False,1,True,True,su(6) × su(2) × su(3) × su(5) × U(1)^1,3.590230703353882
17,2828,26,30,12,2384,6,True,419.9999999999984,4,4,18,15,False,4,True,True,su(3) × su(8) or e7 × su(4) × U(1)^2,2.1901581287384033
18,1375,26,30,11,2416,7,True,127.99999999998226,3,3,16,15,False,3,True,True,su(6) × su(6) × su(3),2.7130825519561768
19,363,26,30,10,2238,4,True,281.99999999989984,3,3,16,14,False,3,True,True,su(4) × su(2) × su(2) × su(3) × su(2) × su(2) × su(3),1.4186286926269531
20,1324,26,30,10,2432,5,True,140.00276700217938,2,1,19,15,False,1,True,False,su(2) × su(2) × su(3) × su(3) × su(4) × U(1)^2,2.5277152061462402
21,9079,26,29,12,1972,4,True,3.999999999999976,5,8,17,14,False,8,True,True,su(3) × su(6) × su(5) × U(1)^3,1.5261075496673584
22,52,26,29,10,1800,1,True,79.9999999999984,2,1,19,14,False,1,True,False,su(2) × su(2) × su(3) × su(2) × su(2) × U(1)^4,0.9011902809143066
23,367,26,29,10,2862,6,True,204.24999999987148,2,1,18,15,False,1,True,True,su(6) × su(2) × su(3) × su(4) × U(1)^2,2.808281898498535
24,15412,26,28,15,2100,5,True,7.327032136105601,4,4,17,15,False,4,True,True,su(3) × su(8) or e7 × su(4) × U(1)^2,2.022336721420288
25,408,26,28,10,2712,9,True,4.562652503870065e-13,3,3,18,15,False,3,True,True,su(3) × su(4) × su(3) × su(4) × su(3),1.640488862991333
