rank,h11,poly_idx,favorable,screen_score,clean_h0_3,h0_ge3,max_h0,n_dp,n_k3,has_swiss,best_tau,best_ratio,sym_order,n_chi3,elapsed_s
293,15,50,True,19,-1,-1,4,4,1,False,None,None,1,-1,0.6
294,17,20,False,19,-1,-1,4,4,3,False,None,None,1,-1,0.6
295,17,31,False,19,-1,-1,4,4,3,False,None,None,1,-1,0.6
296,18,75,False,19,-1,-1,4,4,1,False,None,None,1,-1,0.6
297,15,13,True,19,-1,-1,3,4,2,False,None,None,1,-1,0.6
298,15,19,False,19,-1,-1,3,4,0,False,None,None,1,-1,0.7
299,15,75,True,19,-1,-1,3,4,0,False,None,None,1,-1,0.7
300,17,45,False,18,-1,-1,9,1,2,False,None,None,2,-1,0.6
301,17,3,False,18,-1,-1,8,1,2,False,None,None,2,-1,0.7
302,15,4,False,18,-1,-1,5,1,0,False,None,None,2,-1,0.7
303,16,77,True,18,-1,-1,5,4,2,False,None,None,1,-1,0.7
304,17,39,False,18,-1,-1,4,3,1,False,None,None,2,-1,0.6
305,17,92,False,18,-1,-1,4,1,2,True,89.99999999999461,0.0025210486956575243,1,-1,0.6
306,16,37,False,18,-1,-1,3,3,1,False,None,None,2,-1,0.6
307,15,38,False,17,-1,-1,4,3,2,False,None,None,1,-1,0.6
308,14,1,False,17,-1,-1,3,3,1,False,None,None,1,-1,0.5
309,15,80,True,17,-1,-1,3,3,1,False,None,None,1,-1,0.6
310,15,93,True,17,-1,-1,3,3,1,False,None,None,1,-1,0.6
311,16,19,False,17,-1,-1,3,3,1,False,None,None,1,-1,0.7
312,16,23,False,17,-1,-1,3,3,1,False,None,None,1,-1,0.6
313,16,32,True,17,-1,-1,3,8,1,False,None,None,2,-1,0.8
314,17,1,True,17,-1,-1,3,6,1,False,None,None,2,-1,0.6
315,17,44,False,17,-1,-1,3,7,1,False,None,None,2,-1,0.7
316,17,77,True,17,-1,-1,3,6,2,False,None,None,2,-1,0.7
317,18,49,True,17,-1,-1,3,5,1,False,None,None,2,-1,0.7
318,15,15,False,16,-1,-1,7,0,4,False,None,None,2,-1,0.6
319,17,0,False,16,-1,-1,4,1,2,False,None,None,4,-1,0.6
320,17,30,False,16,-1,-1,4,2,2,False,None,None,2,-1,0.6
321,17,74,False,16,-1,-1,4,2,2,False,None,None,2,-1,0.6
322,17,79,True,16,-1,-1,4,7,0,False,None,None,1,-1,0.7
323,14,3,False,16,-1,-1,3,2,1,False,None,None,2,-1,0.5
324,15,1,False,16,-1,-1,3,2,1,False,None,None,2,-1,0.7
325,15,7,False,16,-1,-1,3,1,1,False,None,None,4,-1,0.6
326,16,6,True,16,-1,-1,3,0,1,True,324.9999999683789,0.0012810292208058792,1,-1,0.7
327,16,64,True,16,-1,-1,3,7,0,False,None,None,1,-1,0.7
328,16,81,True,16,-1,-1,3,7,0,False,None,None,1,-1,0.6
329,16,92,True,16,-1,-1,3,6,1,False,None,None,1,-1,0.6
330,17,94,True,16,-1,-1,3,7,2,False,None,None,1,-1,0.7
331,18,21,True,16,-1,-1,3,8,0,False,None,None,1,-1,0.6
332,18,22,True,16,-1,-1,3,10,0,False,None,None,1,-1,0.6
333,18,25,False,16,-1,-1,3,5,0,False,None,None,1,-1,0.6
334,18,26,False,16,-1,-1,3,6,1,False,None,None,1,-1,0.6
335,18,50,True,16,-1,-1,3,6,1,False,None,None,1,-1,0.7
336,18,71,False,16,-1,-1,3,7,2,False,None,None,1,-1,0.6
337,18,85,False,16,-1,-1,3,6,0,False,None,None,1,-1,0.6
338,18,90,False,16,-1,-1,3,5,1,False,None,None,1,-1,0.7
339,18,92,False,16,-1,-1,3,5,1,False,None,None,1,-1,0.8
340,13,2,True,15,-1,-1,4,2,0,False,None,None,1,-1,0.4
341,15,5,True,15,-1,-1,4,2,3,False,None,None,1,-1,0.6
342,15,89,True,15,-1,-1,4,2,0,False,None,None,1,-1,0.6
343,19,61,False,15,-1,-1,4,2,3,False,None,None,1,-1,0.6
344,14,0,True,15,-1,-1,3,2,0,False,None,None,1,-1,0.4
345,15,26,False,15,-1,-1,3,2,0,False,None,None,1,-1,0.6
346,15,49,True,15,-1,-1,3,2,3,False,None,None,1,-1,0.6
347,16,17,False,15,-1,-1,3,2,2,False,None,None,1,-1,0.6
348,18,61,False,15,-1,-1,3,2,2,False,None,None,1,-1,0.6
349,16,52,False,14,-1,-1,4,1,3,False,None,None,2,-1,0.6
350,17,43,False,14,-1,-1,4,1,2,False,None,None,2,-1,0.7
351,15,3,True,14,-1,-1,3,1,3,False,None,None,2,-1,0.6
352,16,1,False,14,-1,-1,3,0,1,False,None,None,4,-1,0.7
353,16,20,False,14,-1,-1,3,1,0,False,None,None,2,-1,0.6
354,16,34,True,14,-1,-1,3,4,1,False,None,None,1,-1,0.6
355,17,14,True,14,-1,-1,3,4,2,False,None,None,1,-1,0.6
356,18,70,True,14,-1,-1,3,4,1,False,None,None,1,-1,0.7
357,18,94,False,14,-1,-1,3,4,2,False,None,None,1,-1,0.6
358,16,55,False,13,-1,-1,4,1,0,False,None,None,1,-1,0.6
359,18,11,False,13,-1,-1,4,3,0,False,None,None,2,-1,0.6
360,14,14,True,13,-1,-1,3,1,2,False,None,None,1,-1,0.5
361,16,12,False,13,-1,-1,3,1,4,False,None,None,1,-1,0.7
362,18,1,False,12,-1,-1,4,0,2,False,None,None,2,-1,0.6
363,17,6,True,12,-1,-1,3,3,2,False,None,None,1,-1,0.6
364,18,91,False,12,-1,-1,3,3,2,False,None,None,1,-1,0.7
365,16,16,True,11,-1,-1,3,1,1,False,None,None,4,-1,0.9
366,16,49,True,10,-1,-1,3,2,3,False,None,None,1,-1,0.6
367,16,58,True,10,-1,-1,3,2,2,False,None,None,1,-1,0.7
368,16,68,True,10,-1,-1,3,2,2,False,None,None,1,-1,0.7
369,17,11,False,10,-1,-1,3,2,0,False,None,None,1,-1,0.7
370,18,93,False,10,-1,-1,3,2,2,False,None,None,1,-1,0.7
371,18,97,True,10,-1,-1,3,2,2,False,None,None,1,-1,0.8
372,16,15,True,9,-1,-1,3,1,1,False,None,None,2,-1,0.7
373,17,40,True,8,-1,-1,3,1,2,False,None,None,1,-1,0.7
374,18,47,False,8,-1,-1,3,1,2,False,None,None,1,-1,0.8
