rank,h11,poly_idx,favorable,h11_eff,tier2_score,clean_h0_3,h0_ge3,max_h0,n_chi3,n_k3_fib,n_ell_fib,d3_min,d3_max,d3_n_distinct,d3_clean_values,n_overflow,elapsed_s
1,16,22,False,13,45,111,440,10,12642,4,6,-61.0,102.0,152,-53|-47|-45|-38|-35|-34|-33|-32|-31|-30|-27|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-6|-5|-4|-3|2|3,0,190.6
2,17,58,False,13,45,102,520,6,15372,3,3,-59.0,102.0,154,-50|-48|-47|-46|-44|-43|-42|-40|-39|-37|-36|-35|-33|-32|-31|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-5|-4,0,221.9
3,17,45,False,13,45,61,404,16,10880,6,8,-77.0,118.0,157,-45|-37|-36|-34|-33|-32|-31|-30|-29|-26|-25|-24|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-4|-3|-1,0,171.6
4,16,55,False,12,45,57,254,7,7942,5,6,-61.0,99.0,136,-35|-32|-30|-29|-25|-24|-22|-18|-17|-16|-14|-13|-12|-11|-9|-8|-6|-4|-3|-2|1,0,119.0
5,16,74,False,14,45,24,80,4,1940,5,10,-40.0,84.0,114,-31|-25|-23|-22|-21|-19|-17|-16|-15|-14|-13|-11|-10|-9,0,29.9
6,17,89,False,14,45,20,50,4,2394,3,3,-42.0,75.0,93,-36|-32|-28|-26|-23|-19|-17|-16|-15|-13|-12|-11|-8|-4,0,31.1
7,18,72,False,15,44,55,196,21,1940,4,4,-45.0,87.0,111,-42|-40|-36|-35|-29|-28|-27|-26|-25|-24|-22|-15|-11|-10|-9|-8|-7|-6|0,0,31.7
8,18,9,False,16,44,45,106,4,2838,4,4,-54.0,77.0,97,-27|-24|-19|-17|-16|-15|-14|-12|-11|-10|-8|-6|-4,0,38.0
9,18,85,False,16,44,41,162,4,2654,4,4,-54.0,74.0,110,-36|-35|-33|-32|-31|-30|-29|-26|-23|-18|-17|-15|-14|-11|-8|-7|-5|-4,0,43.3
10,16,33,True,16,44,37,84,4,2618,5,6,-42.0,64.0,81,-30|-28|-26|-24|-22|-20|-18|-16|-15|-14|-13|-12|-11|-10|-8,0,39.1
11,18,46,False,16,44,28,142,4,3218,4,4,-54.0,86.0,121,-41|-36|-31|-30|-26|-22|-21|-19|-17|-16|-14|-13|-8|-7|-4|-3|0,0,46.2
12,19,7,False,13,41,114,374,6,11604,3,1,-59.0,97.0,143,-51|-40|-39|-37|-36|-35|-34|-33|-31|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-10|-8|-7|-5|-4,0,110.0
13,16,51,False,12,41,109,486,12,11286,3,1,-57.0,104.0,148,-47|-43|-40|-37|-35|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-5|-4|-3|-2|0|1|4,0,137.4
14,16,43,False,12,41,98,544,13,12628,3,1,-66.0,108.0,162,-51|-44|-43|-40|-39|-38|-36|-35|-31|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-6|-4|-1|3,0,160.7
15,16,82,False,13,41,71,582,17,13240,3,1,-67.0,100.0,159,-45|-41|-40|-39|-38|-36|-34|-32|-30|-29|-28|-27|-26|-24|-22|-20|-19|-18|-17|-16|-15|-14|-13|-12|-10|-9|-8|-7|-5|-4|1,0,113.6
16,18,41,False,10,41,42,330,57,3572,3,1,-89.0,108.0,160,-52|-34|-32|-31|-30|-27|-24|-23|-20|-19|-15|-14|-13|-12|-11|-8|-6|-5|-3|-2|-1|0|2|3,0,30.0
17,17,4,False,11,41,34,204,16,4526,4,1,-88.0,114.0,160,-54|-44|-38|-36|-34|-32|-31|-30|-28|-27|-26|-24|-23|-21|-17|-11|-9|-7|-4|3|6,0,39.1
18,17,3,False,11,41,21,136,16,2924,4,1,-86.0,134.0,154,-40|-26|-24|-23|-20|-12|-8|-2|0|4,0,30.8
19,17,72,False,15,41,19,104,4,2682,4,4,-43.0,81.0,111,-24|-21|-20|-17|-16|-15|-14|-12|-11|-9|-8,0,38.9
20,16,32,True,16,41,19,72,6,3550,5,6,-43.0,81.0,103,-33|-29|-22|-20|-18|-17|-15|-14|-11|-9|-8|0,0,45.4
21,18,25,False,16,41,15,94,4,3102,4,4,-54.0,78.0,96,-26|-21|-18|-15|-12|-11|-9|-8|-2,0,42.5
22,18,81,False,16,41,10,20,3,2944,4,4,-27.0,73.0,89,-19|-14|-12|-11|-8|-7,0,43.7
23,18,92,False,17,40,11,22,3,1782,4,4,-26.0,56.0,62,-21|-20|-13|-8|-5|-4|-2,0,24.6
24,17,96,False,13,39,227,930,65,10208,2,1,-114.0,130.0,202,-67|-61|-60|-54|-52|-50|-49|-48|-47|-46|-45|-43|-42|-41|-40|-39|-38|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-4|-3|-1|0|2|5|8,0,181.0
25,18,40,False,14,39,35,154,13,2104,2,1,-64.0,110.0,121,-48|-40|-38|-37|-34|-32|-26|-25|-24|-22|-20|-18|-17|-16|-12|-8|-6|-5|-2|0|2,0,28.2
26,17,52,False,14,39,29,112,10,1800,2,1,-66.0,108.0,128,-43|-41|-36|-34|-33|-32|-31|-29|-28|-26|-24|-23|-21|-17|-13|-12|-10|-4|0,0,27.7
27,16,28,False,14,39,8,72,7,2364,4,4,-44.0,89.0,102,-35|-23|-20|-19|-18|-8|0,0,37.1
28,17,75,False,16,38,53,160,11,3202,2,1,-54.0,79.0,118,-35|-31|-29|-27|-25|-23|-21|-20|-19|-18|-16|-14|-13|-12|-11|-10|-9|-8|-2|0,0,48.2
29,17,76,False,16,38,28,156,9,2784,2,1,-54.0,83.0,111,-38|-31|-27|-22|-20|-19|-18|-16|-13|-12|-11|-10|-9|-8|0,0,44.5
30,16,9,False,14,38,17,36,13,2110,3,1,-31.0,73.0,94,-26|-21|-19|-18|-16|-14|-13|-11|-8|-7|-4,0,16.8
31,17,70,False,15,38,9,76,4,3158,5,6,-43.0,82.0,98,-35|-23|-22|-20|-18|-8,0,41.2
32,16,75,True,16,38,8,76,10,3294,8,11,-40.0,72.0,89,-30|-10|-8|-2|-1|0,0,46.3
33,19,66,False,17,37,40,108,8,1828,2,1,-29.0,76.0,77,-27|-25|-24|-22|-21|-20|-19|-18|-17|-14|-13|-12|-10|-8|-7|-6|-5|-3|-2|-1|0|1|2,0,25.0
34,19,22,False,17,36,16,40,5,1238,3,1,-25.0,72.0,63,-20|-17|-15|-14|-12|-10|-8|-3|0,0,18.8
35,18,94,False,17,36,5,10,3,1490,4,4,-23.0,71.0,75,-21|-20|-16|-8,0,13.7
36,19,75,False,18,35,15,38,5,1704,3,1,-25.0,55.0,50,-17|-14|-12|0,0,24.8
37,17,59,False,15,35,15,120,6,2480,2,1,-54.0,80.0,110,-38|-24|-19|-18|-16|-15|-13|-12|-11|-8,0,37.9
38,19,15,False,14,35,7,58,5,1680,4,1,-39.0,72.0,90,-21|-13|-11|-8|0,0,22.7
39,19,37,False,18,34,16,50,5,1360,2,1,-19.0,64.0,58,-19|-17|-14|-11|-10|-9|-8|0,0,22.1
40,19,39,False,17,34,13,46,5,1312,2,1,-24.0,64.0,64,-17|-13|-12|-11|-10|-9|-8|-3|0,0,18.1
