h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,h0_3_count,status
17,20,0,False,9,198,198,4,12,ok
17,20,1,True,17,1656,1656,3,6,ok
17,20,2,True,17,626,626,1,0,ok
17,20,3,False,11,330,330,8,26,ok
17,20,4,False,11,718,718,12,30,ok
17,20,5,False,9,230,230,8,20,ok
17,20,6,True,17,1966,1966,3,2,ok
17,20,7,False,15,3184,3184,4,40,ok
17,20,8,False,13,1386,1386,10,98,ok
17,20,9,False,13,1346,1346,10,142,ok
17,20,10,True,17,2270,2270,1,0,ok
17,20,11,False,16,1032,1032,3,12,ok
17,20,12,True,17,1514,1514,3,14,ok
17,20,13,False,16,1504,1504,1,0,ok
17,20,14,True,17,1660,1660,3,6,ok
17,20,15,False,13,1210,1210,1,0,ok
17,20,16,False,16,1290,1290,1,0,ok
17,20,17,False,15,2454,2454,10,190,ok
17,20,18,True,17,1734,1734,1,0,ok
17,20,19,False,16,1270,1270,5,50,ok
17,20,20,False,15,3846,3846,4,96,ok
17,20,21,False,13,1334,1334,13,68,ok
17,20,22,False,15,2390,2390,4,18,ok
17,20,23,False,14,1678,1678,4,46,ok
17,20,24,True,17,2110,2110,1,0,ok
17,20,25,False,14,1856,1856,4,68,ok
17,20,26,True,17,1694,1694,1,0,ok
17,20,27,True,17,1332,1332,1,0,ok
17,20,28,True,17,1960,1960,2,0,ok
17,20,29,True,17,1364,1364,3,8,ok
17,20,30,False,11,634,634,4,36,ok
17,20,31,False,12,1060,1060,4,14,ok
17,20,32,False,13,1214,1214,6,50,ok
17,20,33,True,17,1344,1344,1,0,ok
17,20,34,False,16,1178,1178,6,8,ok
17,20,35,False,14,2144,2144,4,70,ok
17,20,36,False,15,2740,2740,16,122,ok
17,20,37,True,17,1720,1720,1,0,ok
17,20,38,False,14,1566,1566,6,54,ok
17,20,39,False,11,496,496,4,8,ok
17,20,40,True,17,1164,1164,3,8,ok
17,20,41,False,15,2650,2650,12,66,ok
17,20,42,False,14,1404,1404,12,50,ok
17,20,43,False,11,396,396,4,16,ok
17,20,44,False,16,1482,1482,3,12,ok
17,20,45,False,13,1138,1138,9,50,ok
17,20,46,False,13,1336,1336,1,0,ok
17,20,47,False,13,1572,1572,10,40,ok
17,20,48,False,13,1536,1536,10,32,ok
17,20,49,False,15,2648,2648,4,16,ok
17,20,50,False,14,1624,1624,1,0,ok
17,20,51,False,14,1950,1950,10,156,ok
17,20,52,False,14,1800,1800,10,112,ok
17,20,53,False,14,1968,1968,10,174,ok
17,20,54,False,14,1634,1634,5,18,ok
17,20,55,False,15,2140,2140,1,0,ok
17,20,56,False,16,1554,1554,4,10,ok
17,20,57,False,14,1784,1784,10,70,ok
17,20,58,False,13,1878,1878,6,94,ok
17,20,59,False,15,2480,2480,6,120,ok
17,20,60,False,15,2188,2188,10,178,ok
17,20,61,False,15,3054,3054,4,24,ok
17,20,62,False,14,2040,2040,4,12,ok
17,20,63,False,13,1510,1510,12,70,ok
17,20,64,False,14,1744,1744,1,0,ok
17,20,65,False,14,1608,1608,1,0,ok
17,20,66,False,15,2192,2192,3,12,ok
17,20,67,True,17,1332,1332,1,0,ok
17,20,68,False,15,2444,2444,1,0,ok
