h11,h21,poly_idx,favorable,h11_eff,max_h0_025,n_chi3_025,n_dp,dp_types,n_k3_div,n_rigid,has_swiss,n_swiss,best_swiss_tau,best_swiss_ratio,sym_order,screen_score,elapsed,status,error
18,21,84687,True,18,3,1920,13,dP6|dP4|dP6|dP5|dP8|dP5|dP7|dP6|dP4|dP5|dP8|dP4|dP7,0,18,False,0,,,1,16,456.2666609287262,ok,
18,21,84717,True,18,3,1322,7,dP6|dP5|dP4|dP4|dP4|dP4|dP5,0,18,True,2,224.0,0.02382,1,26,461.6882538795471,ok,
18,21,84730,True,18,3,1946,11,dP8|dP8|dP4|dP5|dP8|dP7|dP6|dP4|dP6|dP5|dP5,0,18,True,2,96.0,0.00816,1,26,452.3520522117615,ok,
18,21,84769,True,18,3,1404,6,dP6|dP6|dP5|dP5|dP4|dP5,1,17,False,0,,,1,16,408.97847628593445,ok,
18,21,84774,True,18,3,1936,11,dP8|dP6|dP4|dP8|dP5|dP5|dP5|dP4|dP5|dP4|dP4,1,17,False,0,,,1,16,307.16703271865845,ok,
18,21,84770,True,18,3,1902,12,dP5|dP7|dP7|dP5|dP5|dP7|dP6|dP6|dP5|dP4|dP4|dP5,0,18,True,2,3566.0,0.04579,1,26,435.25247526168823,ok,
18,21,84791,True,18,3,1954,12,dP6|dP6|dP6|dP8|dP8|dP6|dP5|dP5|dP4|dP4|dP5|dP5,0,18,True,1,544.4,0.03380,1,26,334.2458686828613,ok,
18,21,84809,True,18,3,1834,9,dP7|dP4|dP7|dP5|dP7|dP4|dP4|dP4|dP4,0,18,True,1,1250.0,0.07235,1,26,416.4602599143982,ok,
18,21,84875,True,18,3,1902,12,dP8|dP6|dP5|dP5|dP4|dP6|dP4|dP4|dP5|dP6|dP5|dP4,3,15,False,0,,,1,16,364.04119753837585,ok,
18,21,84799,True,18,3,1822,11,dP8|dP7|dP8|dP5|dP7|dP7|dP4|dP5|dP4|dP4|dP4,0,18,True,2,650.0,0.03133,1,26,455.8184802532196,ok,
18,21,84853,True,18,3,1838,11,dP4|dP8|dP4|dP6|dP7|dP5|dP4|dP5|dP4|dP5|dP4,2,16,False,0,,,1,16,403.04668402671814,ok,
18,21,84851,True,18,3,1716,10,dP6|dP4|dP7|dP6|dP8|dP4|dP4|dP6|dP5|dP5,1,17,True,3,1314.5,0.03432,1,26,464.6375524997711,ok,
18,21,84905,True,18,3,1764,9,dP7|dP4|dP7|dP5|dP6|dP4|dP6|dP5|dP5,0,18,True,2,0.5,0.00007,1,26,466.449688911438,ok,
18,21,84893,True,18,3,2032,12,dP8|dP5|dP5|dP7|dP7|dP8|dP4|dP7|dP5|dP5|dP6|dP4,0,18,True,1,24.0,0.00357,1,26,477.94716787338257,ok,
18,21,84947,True,18,3,1970,11,dP6|dP7|dP8|dP4|dP6|dP6|dP5|dP6|dP4|dP4|dP7,2,16,True,2,660.0,0.03234,1,26,468.7341983318329,ok,
18,21,84969,True,18,3,1938,10,dP6|dP8|dP5|dP5|dP5|dP5|dP6|dP6|dP5|dP4,1,17,False,0,,,1,16,353.57845997810364,ok,
18,21,84951,True,18,3,1758,7,dP6|dP5|dP6|dP7|dP6|dP4|dP7,3,15,True,3,45.0,0.00462,1,26,463.95102620124817,ok,
18,21,84965,True,18,3,1546,13,dP6|dP7|dP7|dP5|dP4|dP5|dP5|dP5|dP6|dP5|dP5|dP5|dP5,0,18,True,3,68.0,0.00293,1,26,367.00391936302185,ok,
18,21,84956,True,18,3,1588,13,dP6|dP4|dP5|dP5|dP6|dP7|dP5|dP5|dP5|dP6|dP5|dP4|dP4,1,17,False,0,,,1,16,451.21064949035645,ok,
18,21,84970,True,18,3,2070,11,dP6|dP5|dP8|dP8|dP5|dP7|dP8|dP5|dP5|dP7|dP4,0,18,True,3,297.5,0.00713,1,26,431.48697900772095,ok,
18,21,84971,True,18,3,1390,14,dP7|dP6|dP4|dP4|dP5|dP4|dP4|dP6|dP5|dP4|dP5|dP4|dP4|dP4,1,17,True,1,104.0,0.03348,1,26,404.60134100914,ok,
18,21,84980,True,18,3,1930,11,dP8|dP6|dP6|dP8|dP5|dP6|dP7|dP5|dP4|dP4|dP5,0,18,False,0,,,1,16,336.7996098995209,ok,
18,21,84982,True,18,3,2096,12,dP8|dP4|dP7|dP5|dP6|dP5|dP8|dP5|dP4|dP4|dP4|dP8,1,17,False,0,,,1,16,344.4646074771881,ok,
18,21,84972,True,18,3,1812,15,dP7|dP4|dP6|dP5|dP4|dP6|dP6|dP5|dP6|dP4|dP5|dP6|dP4|dP4|dP7,0,18,False,0,,,1,16,428.71041679382324,ok,
18,21,84981,True,18,3,2162,10,dP7|dP5|dP8|dP8|dP7|dP7|dP8|dP4|dP4|dP4,0,18,True,1,183.5,0.04020,1,26,453.50272154808044,ok,
18,21,84984,True,18,3,2250,11,dP6|dP7|dP8|dP7|dP6|dP7|dP5|dP5|dP4|dP4|dP4,1,17,True,1,105.0,0.02486,1,26,448.8281464576721,ok,
18,21,85002,True,18,3,1960,10,dP6|dP4|dP6|dP5|dP6|dP7|dP5|dP4|dP6|dP4,2,16,True,2,225.0,0.03833,1,26,354.9527599811554,ok,
18,21,85014,True,18,3,2174,10,dP7|dP8|dP6|dP8|dP6|dP6|dP5|dP4|dP4|dP5,0,18,True,1,75.0,0.00070,1,26,344.01684761047363,ok,
18,21,84989,True,18,3,2026,10,dP7|dP6|dP5|dP4|dP6|dP6|dP5|dP4|dP4|dP6,1,17,False,0,,,1,16,443.21142745018005,ok,
18,21,84988,True,18,3,2102,12,dP4|dP8|dP6|dP6|dP8|dP6|dP6|dP5|dP5|dP5|dP8|dP6,0,18,False,0,,,1,16,447.44495368003845,ok,
18,21,85027,True,18,3,2188,12,dP5|dP6|dP6|dP8|dP5|dP6|dP7|dP5|dP7|dP5|dP4|dP5,0,18,True,1,570.5,0.06162,1,26,402.15005803108215,ok,
18,21,85054,True,18,3,2114,12,dP5|dP7|dP8|dP8|dP7|dP7|dP4|dP4|dP5|dP5|dP4|dP6,0,18,False,0,,,1,16,256.6123294830322,ok,
18,21,85037,True,18,3,1946,12,dP4|dP8|dP8|dP4|dP5|dP4|dP4|dP4|dP6|dP4|dP6|dP5,1,17,True,3,32.0,0.00237,1,26,460.7720103263855,ok,
18,21,85043,True,18,3,1896,14,dP8|dP6|dP8|dP7|dP4|dP5|dP5|dP6|dP5|dP5|dP5|dP4|dP4|dP4,0,18,True,2,98.0,0.00632,1,26,458.1599268913269,ok,
18,21,85044,True,18,3,1690,10,dP5|dP5|dP4|dP7|dP5|dP5|dP6|dP4|dP4|dP4,2,16,False,0,,,1,16,455.12858176231384,ok,
18,21,85050,True,18,3,1490,13,dP6|dP5|dP6|dP6|dP6|dP5|dP5|dP5|dP5|dP5|dP6|dP5|dP6,0,18,False,0,,,1,16,452.90844535827637,ok,
18,21,85070,True,18,3,2292,10,dP4|dP8|dP8|dP8|dP7|dP8|dP4|dP4|dP6|dP4,3,15,True,4,14.0,0.00025,1,26,298.3851137161255,ok,
18,21,85055,True,18,3,2104,9,dP5|dP4|dP7|dP6|dP5|dP8|dP6|dP5|dP4,1,17,True,1,272.0,0.08639,1,26,443.0543324947357,ok,
18,21,85059,True,18,3,1952,13,dP6|dP8|dP5|dP7|dP7|dP8|dP5|dP5|dP4|dP4|dP4|dP4|dP5,0,18,True,1,602.9,0.04120,1,26,435.1635684967041,ok,
18,21,85101,True,18,3,2006,12,dP6|dP7|dP4|dP6|dP4|dP5|dP5|dP7|dP4|dP4|dP6|dP7,1,17,True,1,336.0,0.04763,1,26,265.0682785511017,ok,
