h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
18,21,101595,False,17,1710,1710,0,-1,1710,skip
18,21,101596,False,17,1682,1682,0,-1,1682,skip
18,21,101597,False,17,1762,1762,0,-1,1762,skip
18,21,101598,False,17,1740,1740,0,-1,1740,skip
18,21,101599,False,17,1610,1610,0,-1,1610,skip
18,21,101600,True,18,1916,1916,0,-1,1916,skip
18,21,101601,True,18,2152,173,3,173,172,pass
18,21,101602,True,18,2036,97,3,97,96,pass
18,21,101603,True,18,2020,2020,0,-1,2020,skip
18,21,101604,True,18,1954,1954,0,-1,1954,skip
18,21,101605,True,18,1864,1864,0,-1,1864,skip
18,21,101606,True,18,2242,2242,0,-1,2242,skip
18,21,101607,True,18,1624,1624,0,-1,1624,skip
18,21,101608,True,18,2400,2400,0,-1,2400,skip
18,21,101609,True,18,2010,2010,0,-1,2010,skip
18,21,101610,True,18,2086,2086,0,-1,2086,skip
18,21,101611,True,18,1802,1802,0,-1,1802,skip
18,21,101612,True,18,1890,1890,0,-1,1890,skip
18,21,101613,False,17,1782,1782,0,-1,1782,skip
18,21,101614,False,17,1584,1584,0,-1,1584,skip
18,21,101615,False,17,1470,1470,0,-1,1470,skip
18,21,101616,False,17,1642,1642,0,-1,1642,skip
18,21,101617,False,17,1664,1664,0,-1,1664,skip
18,21,101618,True,18,1666,1666,0,-1,1666,skip
18,21,101619,True,18,2026,2026,0,-1,2026,skip
18,21,101620,True,18,1676,1676,0,-1,1676,skip
18,21,101621,True,18,1958,179,3,179,178,pass
18,21,101622,True,18,1902,1902,0,-1,1902,skip
18,21,101623,True,18,1986,5,3,5,4,pass
18,21,101624,True,18,1902,1902,0,-1,1902,skip
18,21,101625,True,18,2178,2178,0,-1,2178,skip
18,21,101626,True,18,1830,1830,0,-1,1830,skip
18,21,101627,True,18,2206,2206,0,-1,2206,skip
18,21,101628,True,18,1980,1980,0,-1,1980,skip
18,21,101629,True,18,2314,2314,0,-1,2314,skip
18,21,101630,True,18,2150,2150,0,-1,2150,skip
18,21,101631,True,18,2268,2268,0,-1,2268,skip
18,21,101632,True,18,1606,1606,0,-1,1606,skip
18,21,101633,True,18,1788,1788,0,-1,1788,skip
18,21,101634,True,18,1960,1960,0,-1,1960,skip
18,21,101635,True,18,2178,2178,0,-1,2178,skip
18,21,101636,True,18,2100,2100,0,-1,2100,skip
18,21,101637,True,18,2114,2114,0,-1,2114,skip
18,21,101638,True,18,1908,1908,0,-1,1908,skip
18,21,101639,True,18,1848,1848,0,-1,1848,skip
18,21,101640,True,18,2216,2216,0,-1,2216,skip
18,21,101641,True,18,2368,2368,0,-1,2368,skip
18,21,101642,True,18,2018,2018,0,-1,2018,skip
18,21,101643,True,18,1940,1940,0,-1,1940,skip
18,21,101644,True,18,1954,1954,0,-1,1954,skip
18,21,101645,True,18,2004,185,3,185,184,pass
18,21,101646,True,18,2216,2216,0,-1,2216,skip
18,21,101647,True,18,2008,2008,0,-1,2008,skip
18,21,101648,True,18,2098,2098,0,-1,2098,skip
18,21,101649,True,18,2270,2270,0,-1,2270,skip
18,21,101650,True,18,1960,1960,0,-1,1960,skip
18,21,101651,True,18,1978,1978,0,-1,1978,skip
18,21,101652,True,18,2082,2082,0,-1,2082,skip
18,21,101653,True,18,2020,2020,0,-1,2020,skip
18,21,101654,True,18,2050,2050,0,-1,2050,skip
18,21,101655,True,18,1618,1618,0,-1,1618,skip
18,21,101656,True,18,1574,1574,0,-1,1574,skip
18,21,101657,True,18,1962,1962,0,-1,1962,skip
18,21,101658,True,18,1922,1922,0,-1,1922,skip
18,21,101659,True,18,2094,2094,0,-1,2094,skip
18,21,101660,True,18,2138,9,3,9,8,pass
18,21,101661,True,18,2372,2372,0,-1,2372,skip
